Molecule ChEMBL ID,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units
CHEMBL376488,COc1nc2ccc(Br)cc2cc1[C@@H](c1ccccc1)[C@@](O)(CCN(C)C)c1cccc2ccccc12,log10CFU/ml,'=',-0.37,
CHEMBL374478,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,log10CFU/ml,'=',-1.7,
CHEMBL1287829,O=C(N/N=C1\C2CCCC1[C@H](c1ccc(Cl)cc1)N[C@@H]2c1ccc(Cl)cc1)c1ccncc1,Activity,'=',63.61,%
CHEMBL1289484,O=C(N/N=C1\C2CCCC1[C@H](c1ccccc1)N[C@@H]2c1ccccc1)c1ccncc1,Activity,'=',77.52,%
CHEMBL374478,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,MIC99,'=',1,ug ml-1
CHEMBL2160154,,,,,
CHEMBL1086385,CCCCCCCC[C@@H](C)C(=O)N1CCC[C@H]1C(=O)N[C@@H](C[C@H](C)C[C@H](O)CC(=O)CC)C(=O)NC(C)(C)C(=O)NC(C)(C)C(=O)N[C@H](C(=O)N[C@H](C(=O)NC(C)(C)C(=O)NC(C)(C)C(=O)N[C@@H](C)CN(C)CCO)C(C)C)[C@@H](C)CC,MIC,'=',0.12,ug.mL-1
CHEMBL1086383,CCCCCCCC[C@@H](C)C(=O)N1CCC[C@H]1C(=O)N[C@@H](C[C@H](C)C/C=C/C(=O)CC)C(=O)NC(C)(C)C(=O)NC(C)(C)C(=O)N[C@H](C(=O)N[C@H](C(=O)NC(C)(C)C(=O)NC(C)(C)C(=O)N[C@@H](C)CN(C)CCO)C(C)C)[C@@H](C)CC,MIC,'=',2,ug.mL-1
CHEMBL2160156,CCCCCCCCCCCCC#Cc1cn(C2C=CC(O)C2)c(=O)[nH]c1=O,GI,'=',100,%
CHEMBL2216812,O=c1oc2ccccc2cc1-c1cs/c(=N\N=C\c2ccc(Cl)c(Cl)c2)n1C1CCCCC1,Imax,'=',42,%
CHEMBL376488,,,,,
CHEMBL32,COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,Log10 cfu,'=',5.5,
CHEMBL376488,,,,,
CHEMBL374478,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,Activity,,,
CHEMBL225164,Oc1ccc(Cl)c2cccnc12,MIC,'=',0.125,ug.mL-1
CHEMBL497,Oc1c(I)cc(Cl)c2cccnc12,MIC,'=',6.25,ug.mL-1
CHEMBL220161,Nc1ncnc2ncn(COCCOS(=O)(=O)NC(=O)c3ccccc3O)c12,MIC99,'>',200,uM
CHEMBL371502,,,,,
CHEMBL227446,O=C(N/N=C/c1c(F)c(F)c(F)c(F)c1F)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1,IC50,'=',66069.34,nM
CHEMBL1753,CCC[C@@H]1C[C@@H](C(=O)N[C@@H]([C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)[C@H](C)Cl)N(C)C1,MIC,'>',128000,nM
CHEMBL374975,CC(=O)O[C@H]1C[C@@]2(C)[C@@H](C[C@@H](O)[C@H]3[C@@]4(C)CC[C@@H](O)[C@@H](C)[C@@H]4CC[C@@]32C)/C1=C(\CCC=C(C)C)C(=O)O,MIC,'=',15800,nM
CHEMBL137,Cc1ncc([N+](=O)[O-])n1CCO,MIC,'>',128000,nM
CHEMBL8,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,MIC,'<=',500,nM
CHEMBL137,Cc1ncc([N+](=O)[O-])n1CCO,MIC,'>',128000,nM
CHEMBL1103,O=C1OCCN1/N=C/c1ccc([N+](=O)[O-])o1,MIC,'=',9700,nM
CHEMBL157101,CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,MIC,'=',53000,nM
