Molecule ChEMBL ID,MIC,Units,Smiles,Label
CHEMBL1086385,0.12,ug.mL-1,CCCCCCCC[C@@H](C)C(=O)N1CCC[C@H]1C(=O)N[C@@H](C[C@H](C)C[C@H](O)CC(=O)CC)C(=O)NC(C)(C)C(=O)NC(C)(C)C(=O)N[C@H](C(=O)N[C@H](C(=O)NC(C)(C)C(=O)NC(C)(C)C(=O)N[C@@H](C)CN(C)CCO)C(C)C)[C@@H](C)CC,1
CHEMBL1086383,2.0,ug.mL-1,CCCCCCCC[C@@H](C)C(=O)N1CCC[C@H]1C(=O)N[C@@H](C[C@H](C)C/C=C/C(=O)CC)C(=O)NC(C)(C)C(=O)NC(C)(C)C(=O)N[C@H](C(=O)N[C@H](C(=O)NC(C)(C)C(=O)NC(C)(C)C(=O)N[C@@H](C)CN(C)CCO)C(C)C)[C@@H](C)CC,1
CHEMBL225164,0.125,ug.mL-1,Oc1ccc(Cl)c2cccnc12,1
CHEMBL497,6.25,ug.mL-1,Oc1c(I)cc(Cl)c2cccnc12,1
CHEMBL4061841,25.0,ug.mL-1,NC(=O)C1CCN(Cc2c(-c3ccccc3)[nH]c3ccnc(Cl)c23)CC1,0
CHEMBL244579,6.25,ug.mL-1,COc1ccc(Nc2nc(Nc3ccc(OC)cc3)nc(Nc3ccc(OC)cc3)n2)cc1,1
CHEMBL1210949,4.0,ug.mL-1,COc1c(N2CCCC(N(C)CCN3C(=O)/C(=N\NC(N)=S)c4cc(F)ccc43)C2)ccc2c(=O)c(C(=O)O)cn(C3CC3)c12,1
CHEMBL251721,16.0,ug.mL-1,Cn1c([N+](=O)[O-])cnc1C#Cc1ccnc(N)n1,0
CHEMBL268316,100.0,ug.mL-1,CN1C(NNC(=O)c2ccc(-c3ccccc3[N+](=O)[O-])o2)=NS(=O)(=O)c2ccccc21,0
CHEMBL400938,1.0,ug.mL-1,O=[N+]([O-])c1ccc(/C=N\NC2=NS(=O)(=O)c3ccccc3N2c2ccccc2)o1,1
CHEMBL1255053,1.25,ug.mL-1,CCCCCOc1ccc(/C=C/c2cc(/C=C/c3ccc(O)c(OC)c3)on2)cc1OC,1
CHEMBL1253790,6.25,ug.mL-1,CCCCCOc1ccc(/C=C/c2cc(/C=C/c3ccc(O)c(OC)c3)no2)cc1OC,1
CHEMBL1254145,12.5,ug.mL-1,COc1cc(/C=C/c2cc(/C=C/c3ccc(OC)c(OC)c3)on2)ccc1O,0
CHEMBL1253958,100.0,ug.mL-1,CCCCCOc1ccc(/C=C/C(=O)CC(=O)/C=C/c2ccc(OCCCCC)c(OC)c2)cc1OC,0
CHEMBL1222430,25.0,ug.mL-1,CCCCCC[C@@H](O)C/C=C\CCCCCCCC(=O)NCc1ccccc1,0
CHEMBL199467,12.5,ug.mL-1,COc1ccc(C(c2ccc(OCC(O)CN3CCCC3)cc2)c2cc3ccccc3c3ccccc23)cc1,0
CHEMBL198691,25.0,ug.mL-1,COc1ccc(C(c2ccc(OCC(O)CNC3CC3)cc2)c2cc3ccccc3c3ccccc23)cc1,0
CHEMBL360235,16.0,ug.mL-1,O=C(CN(/N=C/c1ccc(Cl)cc1)C(=O)c1ccncc1)N1CCN(c2ccc([N+](=O)[O-])cc2)CC1,0
CHEMBL64,27.0,ug.mL-1,NNC(=O)c1ccncc1,0
CHEMBL2164534,20.0,ug.mL-1,C[C@@H]1C[C@]23CC[C@@H]4[C@](C)(CCC[C@]4(C)C(=O)O)[C@H]2CC[C@@]1(OC(=O)CCCCCCCCC(=O)O[C@]12CC[C@@H]4[C@](CC[C@H]5[C@@]4(C)CCC[C@@]5(C)C(=O)O)(C[C@@H]1C)C2)C3,0
CHEMBL380277,12.5,ug.mL-1,Oc1[nH]c2ccc(F)cc2c1/N=N/C(S)=N/c1ncc(C2CCC2)o1,0
CHEMBL207679,0.1,ug.mL-1,S=C(NN=C(c1ccccc1)c1ccccc1)Nc1ncc(C2CCC2)o1,1
CHEMBL208043,3.12,ug.mL-1,C/C(=N\N=C(/S)Nc1ncc(C2CCC2)o1)c1ccc(O)cc1,1
CHEMBL207383,3.12,ug.mL-1,C/C(=N\N=C(/S)Nc1ncc(C2CCC2)o1)c1ccccc1O,1
CHEMBL210332,25.0,ug.mL-1,Oc1[nH]c2ccccc2c1/N=N/C(S)=N/c1ncc(C2CCC2)o1,0
CHEMBL378128,0.78,ug.mL-1,C/C(=N\N=C(/S)Nc1ncc(C2CCC2)o1)c1ccc(C)cc1,1
CHEMBL382147,0.2,ug.mL-1,COc1c(N2CCN(Cn3c(O)c(/N=N/C(=O)c4ccncc4)c4ccccc43)C(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,1
CHEMBL1242899,8.5,ug.mL-1,CCn1cc(C(=O)N2N=C(c3cc4ccccc4o3)CC2c2ccco2)c(=O)c2ccc(C)nc21,1
CHEMBL1276657,125.0,ug.mL-1,COc1ccc(C2c3ccc4cccnc4c3OC3NC(=S)NC(=S)C32)cc1,0
CHEMBL32,0.06,ug.mL-1,COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,1
CHEMBL1256993,0.03,ug.mL-1,COc1c(N2CC[C@@H](C(C)(C)N)C2)c(F)cc2c(=O)c3c(=O)[nH]sc3n(C3CC3)c12,1
CHEMBL1829179,2.0,ug.mL-1,O=C(O)c1ccc(N/C=N/NC(=O)c2ccccc2F)cc1O,1
CHEMBL1829182,1.0,ug.mL-1,O=C(N/N=C/N1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1)c1ccc(F)cc1,1
CHEMBL4063370,1.5,ug.mL-1,O=[N+]([O-])c1ccc(-c2ncncc2Br)o1,1
CHEMBL4104910,8.0,ug.mL-1,Cc1ccc(CN2CCn3nc(C(=O)N4CCCCC4)cc3C2=O)cc1,1
CHEMBL4087055,8.0,ug.mL-1,CC(C)(C)c1ccc(CN2CCn3nc(C(=O)N4CCCCC4)cc3C2=O)cc1,1
CHEMBL4068649,0.25,ug.mL-1,COc1nc2ccc(Br)cc2cc1C(c1ccccc1)C(O)(CCN(C)C)c1cccc2ccccc12,1
CHEMBL4074981,32.0,ug.mL-1,CC(=O)N1CCN(C(=O)c2cc3n(n2)CCN(Cc2ccc(Cl)c(Cl)c2)C3=O)CC1,0
CHEMBL4096336,32.0,ug.mL-1,CC(C)(C)OC(=O)N1CCN(C(=O)c2cc3n(n2)CCN(Cc2ccc(Cl)c(Cl)c2)C3=O)CC1,0
CHEMBL1823283,100.0,ug.mL-1,Cc1ccc(-n2cc(CO)nn2)cc1,0
CHEMBL1823288,100.0,ug.mL-1,COc1cccc(-n2cc(CO)nn2)c1,0
CHEMBL1823334,100.0,ug.mL-1,C=Cc1cn(-c2ccc([N+](=O)[O-])cc2)nn1,0
CHEMBL4100025,5.0,ug.mL-1,CC(NC(=O)c1cc2ccccc2[nH]1)C12CC3CC(CC(C3)C1)C2,1
CHEMBL2397463,25.0,ug.mL-1,O=C(NCc1ccccc1Cl)c1cnc(Cl)cn1,0
CHEMBL272518,12.5,ug.mL-1,COc1ccc(C(c2ccc(OCC(O)CN3CCSCC3)cc2)c2cccs2)cc1,0
CHEMBL401591,3.12,ug.mL-1,CCN(CC)CCOc1ccc(C(c2ccc(Cl)cc2)c2cccs2)cc1,1
CHEMBL1807838,12.5,ug.mL-1,COc1cc(/C=C2\CCCCc3c2nc(N)nc3-c2cc(OC)c(OC)c(OC)c2)cc(OC)c1OC,0
CHEMBL44884,3.25,ug.mL-1,CC[C@@H](CO)NCCN[C@@H](CC)CO,1
CHEMBL1831146,5.0,ug.mL-1,COc1ccc2nc(C)cc(NC(=O)CN3CC(CN4CCN(C(C)C)CC4)OC3=O)c2c1,1
