y,probs,preds
1.0,0.9520241,1.0
1.0,0.79152334,1.0
0.0,0.17457111,0.0
0.0,0.3127514,0.0
0.0,0.19819169,0.0
0.0,0.15868525,0.0
1.0,0.9407209,1.0
0.0,0.3096434,0.0
1.0,0.85772467,1.0
0.0,0.3321906,0.0
0.0,0.23546319,0.0
1.0,0.6298047,1.0
1.0,0.3079019,0.0
1.0,0.40933847,0.0
0.0,0.07940598,0.0
0.0,0.36075342,0.0
1.0,0.9497671,1.0
1.0,0.4061258,0.0
1.0,0.91687596,1.0
0.0,0.2780127,0.0
1.0,0.99335504,1.0
1.0,0.62269443,1.0
0.0,0.2662284,0.0
1.0,0.35097134,0.0
1.0,0.2737732,0.0
0.0,0.9674036,1.0
1.0,0.8159674,1.0
1.0,0.7490895,1.0
0.0,0.79218847,1.0
0.0,0.14940673,0.0
0.0,0.12579106,0.0
0.0,0.8991888,1.0
0.0,0.35340083,0.0
1.0,0.4867474,0.0
0.0,0.20045844,0.0
1.0,0.55416477,1.0
1.0,0.23703243,0.0
1.0,0.9838361,1.0
1.0,0.9465583,1.0
0.0,0.5081879,1.0
1.0,0.28799677,0.0
0.0,0.18753684,0.0
1.0,0.5333068,1.0
0.0,0.7930489,1.0
0.0,0.3861567,0.0
1.0,0.8751507,1.0
1.0,0.972546,1.0
1.0,0.46499652,0.0
0.0,0.6847171,1.0
0.0,0.25407118,0.0
1.0,0.7698853,1.0
1.0,0.94612426,1.0
1.0,0.7657542,1.0
1.0,0.2567592,0.0
1.0,0.89216536,1.0
0.0,0.48754072,0.0
0.0,0.2152254,0.0
1.0,0.405857,0.0
1.0,0.88055205,1.0
0.0,0.08555096,0.0
1.0,0.98126376,1.0
0.0,0.12320932,0.0
0.0,0.5906902,1.0
0.0,0.61716604,1.0
1.0,0.44586655,0.0
0.0,0.13601112,0.0
1.0,0.9975159,1.0
1.0,0.8734708,1.0
1.0,0.60055643,1.0
0.0,0.26017684,0.0
0.0,0.34845355,0.0
0.0,0.11180344,0.0
0.0,0.37554452,0.0
0.0,0.29377306,0.0
0.0,0.2604804,0.0
1.0,0.52527684,1.0
0.0,0.1397884,0.0
0.0,0.4724861,0.0
0.0,0.10031954,0.0
1.0,0.9954509,1.0
1.0,0.6712195,1.0
1.0,0.9565718,1.0
0.0,0.15542123,0.0
1.0,0.6909373,1.0
1.0,0.8590977,1.0
1.0,0.9631394,1.0
0.0,0.043386206,0.0
1.0,0.8217884,1.0
0.0,0.40459013,0.0
0.0,0.3873152,0.0
0.0,0.096138485,0.0
1.0,0.28567564,0.0
1.0,0.42187798,0.0
1.0,0.9939028,1.0
0.0,0.8079263,1.0
1.0,0.3405099,0.0
0.0,0.1097871,0.0
0.0,0.25067255,0.0
1.0,0.9539325,1.0
0.0,0.58626777,1.0
0.0,0.10215506,0.0
0.0,0.39248028,0.0
0.0,0.23067224,0.0
0.0,0.9020342,1.0
1.0,0.63606673,1.0
0.0,0.121313594,0.0
0.0,0.41622943,0.0
0.0,0.029204877,0.0
0.0,0.047794987,0.0
0.0,0.114855595,0.0
0.0,0.10736505,0.0
0.0,0.41462612,0.0
0.0,0.13991232,0.0
1.0,0.7215987,1.0
1.0,0.4727479,0.0
1.0,0.99827874,1.0
0.0,0.06606388,0.0
0.0,0.39221495,0.0
1.0,0.78400457,1.0
0.0,0.33216026,0.0
0.0,0.024041682,0.0
0.0,0.0854869,0.0
1.0,0.51472574,1.0
1.0,0.9872869,1.0
0.0,0.34880358,0.0
1.0,0.97314936,1.0
0.0,0.39689127,0.0
1.0,0.93676114,1.0
1.0,0.87324756,1.0
0.0,0.12497417,0.0
0.0,0.4558587,0.0
1.0,0.35165536,0.0
1.0,0.31055188,0.0
1.0,0.8591169,1.0
0.0,0.2507481,0.0
1.0,0.48488027,0.0
0.0,0.09687623,0.0
0.0,0.042970777,0.0
1.0,0.8154338,1.0
1.0,0.9842971,1.0
1.0,0.8696333,1.0
0.0,0.2767146,0.0
0.0,0.8459767,1.0
1.0,0.9964743,1.0
0.0,0.034532506,0.0
1.0,0.4883361,0.0
1.0,0.66500056,1.0
1.0,0.70748425,1.0
1.0,0.98584765,1.0
0.0,0.291851,0.0
1.0,0.81823397,1.0
0.0,0.4112179,0.0
1.0,0.73476195,1.0
0.0,0.09752409,0.0
0.0,0.25265902,0.0
1.0,0.71758926,1.0
0.0,0.33194184,0.0
1.0,0.92356765,1.0
1.0,0.9808015,1.0
0.0,0.29380357,0.0
0.0,0.109905034,0.0
0.0,0.21039373,0.0
1.0,0.6861974,1.0
0.0,0.39076483,0.0
1.0,0.77045774,1.0
0.0,0.6237734,1.0
1.0,0.99561876,1.0
0.0,0.33343568,0.0
0.0,0.09742723,0.0
1.0,0.95026493,1.0
0.0,0.79007965,1.0
1.0,0.24366327,0.0
0.0,0.020792296,0.0
1.0,0.97600764,1.0
0.0,0.11022071,0.0
1.0,0.80618626,1.0
0.0,0.100993335,0.0
0.0,0.116807394,0.0
1.0,0.099237636,0.0
0.0,0.2263669,0.0
1.0,0.8895583,1.0
0.0,0.07078422,0.0
0.0,0.036965135,0.0
0.0,0.25674018,0.0
1.0,0.684127,1.0
0.0,0.919292,1.0
1.0,0.894059,1.0
1.0,0.544093,1.0
1.0,0.8308139,1.0
0.0,0.6542227,1.0
1.0,0.12850372,0.0
0.0,0.5210081,1.0
1.0,0.75103307,1.0
0.0,0.2775879,0.0
1.0,0.4041247,0.0
1.0,0.3503988,0.0
1.0,0.5888183,1.0
0.0,0.338289,0.0
0.0,0.03161013,0.0
1.0,0.4852883,0.0
0.0,0.3198271,0.0
1.0,0.90293854,1.0
0.0,0.035710827,0.0
0.0,0.14465506,0.0
1.0,0.7523469,1.0
0.0,0.85081923,1.0
0.0,0.021315254,0.0
1.0,0.69842565,1.0
0.0,0.18341795,0.0
1.0,0.97338563,1.0
0.0,0.35670114,0.0
0.0,0.118473515,0.0
1.0,0.73279524,1.0
0.0,0.015112917,0.0
1.0,0.97108823,1.0
1.0,0.22800258,0.0
1.0,0.2145113,0.0
1.0,0.5371368,1.0
1.0,0.6948442,1.0
0.0,0.8129261,1.0
1.0,0.82139844,1.0
1.0,0.8647963,1.0
1.0,0.40137964,0.0
1.0,0.660295,1.0
0.0,0.31597114,0.0
