nhead,d_model,dim_feedforward,dropout,num_layers,layerdrop,value
2,64,512,0.2,2,0.3,0.2427106747361424
2,64,1024,0.2,6,0.2,0.26863597433921094
4,128,1024,0.1,2,0.2,0.35740942844139184
2,64,256,0.2,2,0.1,0.2543398386492668
8,256,512,0.2,6,0.2,0.3600029335919829
2,64,512,0.1,4,0.3,0.28929727872604144
4,256,256,0.2,3,0.2,0.33604843851647914
2,128,1024,0.4,4,0.2,0.23686640805106948
2,256,256,0.2,6,0.1,0.36490583735721815
8,256,1024,0.1,3,0.2,0.40853916200358764
8,256,1024,0.3,3,0.1,0.30387721124172745
8,256,256,0.1,6,0.1,0.4429844460239809
8,256,256,0.1,3,0.1,0.4189936385651147
8,256,256,0.1,3,0.1,
8,256,256,0.1,6,0.1,
8,256,256,0.3,3,0.1,0.31395594508963204
8,128,256,0.4,6,0.1,0.23625173240179587
8,256,256,0.1,4,0.1,0.4331203629705048
4,256,256,0.1,4,0.3,0.38789227864067133
8,128,256,0.1,4,0.1,0.3672512113255747
8,256,512,0.4,4,0.1,0.2522324783622729
8,256,256,0.1,4,0.1,
8,256,256,0.1,3,0.1,
8,256,256,0.1,6,0.1,
8,256,256,0.3,3,0.1,
4,256,256,0.1,4,0.3,
8,256,256,0.1,6,0.1,
8,256,256,0.1,2,0.1,0.3992542962755933
8,64,512,0.1,4,0.1,0.3266877382312249
4,128,256,0.3,2,0.3,0.24433860800487137
8,64,512,0.4,3,0.1,0.20047614729145175
8,256,1024,0.1,3,0.2,
8,256,1024,0.1,3,0.2,
8,256,1024,0.1,3,0.2,
8,256,1024,0.1,6,0.2,0.3960226166726766
2,64,1024,0.1,2,0.2,0.30254930743126796
8,256,1024,0.1,3,0.3,0.36827987287098185
4,256,256,0.2,6,0.2,0.3687579677125593
2,128,512,0.1,3,0.1,0.3783397986059044
8,64,1024,0.2,4,0.2,0.2648470510184865
8,256,256,0.1,2,0.1,
8,256,256,0.1,2,0.1,
8,256,256,0.1,2,0.1,
8,256,256,0.1,2,0.1,
2,256,256,0.1,2,0.1,0.39272061062737734
8,256,256,0.4,6,0.1,0.2785840676445687
8,256,256,0.3,3,0.1,
8,256,1024,0.1,2,0.3,0.36268878679653
4,128,256,0.2,6,0.2,0.30149428006860385
8,256,256,0.1,4,0.1,
