Molecule ChEMBL ID,MIC,Units,Smiles,Label
CHEMBL4076166,64.0,ug.mL-1,CSc1ccc2c(c1)N(CCC1CCCCN1C(C)C)c1ccccc1S2,0
CHEMBL2393487,16.0,ug.mL-1,Cc1cccc(-c2cn(C[C@H]3CN(c4ccc(N5CCN(Cc6cc(-c7ccccc7C)n(-c7ccc(F)cc7)c6C)CC5)c(F)c4)C(=O)O3)nn2)c1,0
CHEMBL1269430,0.63,ug.mL-1,COC(=O)/C=C1\Nc2ccc(F)cc2OC1=O,1
CHEMBL5395017,8.0,ug.mL-1,COc1ccc(-c2ccn(-c3ccc(NC(=S)NCc4ccccc4)cc3)n2)cc1OC,1
CHEMBL4228114,50.0,ug.mL-1,O=C(/C=C/c1ccc(F)cc1)Nc1nc(-c2ccc3oc4ccccc4c3c2)cs1,0
CHEMBL4435813,0.78,ug.mL-1,c1ccc(-c2cc(Cn3cc(Cn4ccc5cncnc54)nn3)on2)cc1,1
CHEMBL3099177,25.0,ug.mL-1,C/C(=N\NC(=O)c1ccccc1Cl)c1ccc(-n2cccc2)cc1,0
CHEMBL2441319,3.12,ug.mL-1,Clc1ccccc1COc1ccc(C(C2CC2)n2ccnc2)cc1,1
CHEMBL4846944,0.107,ug.mL-1,O=c1cc(N2CCN(CC3CCC(NS(=O)(=O)c4ccccc4)CC3)CC2)sc2c([N+](=O)[O-])cc(C(F)(F)F)cc12,1
CHEMBL2235534,6.25,ug.mL-1,CC1(C)CCc2cc(C(C#Cc3ccccc3)N3CCCCC3)ccc2O1,1
CHEMBL1257411,6.25,ug.mL-1,COC(=O)C1=C(C)NC(=O)NC1c1cn(-c2ccccc2)nc1-c1ccc(Br)cc1,1
CHEMBL552415,64.0,ug.mL-1,CC(=O)N1CCN(/C=C2\C(=O)N(c3ccc(Cl)cc3)N=C2C)CC1,0
CHEMBL500633,128.0,ug.mL-1,CC/C=C/C/C=C/C/C=C/CCCCCCCC(=O)OC(COC(=O)CCCCCCC)CO[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,0
CHEMBL541189,100.0,ug.mL-1,CC1(C)CC(=O)c2nc3ccccc3nc2-c2ccccc2C(=O)O1,0
CHEMBL488068,6.25,ug.mL-1,Fc1cccc(-c2nc3ccccc3n2Cc2cn(-c3ccc(C(F)(F)F)cc3)nn2)c1,1
CHEMBL5639603,64.0,ug.mL-1,COc1ccc(-n2c(C)cc(/C=C3\S/C(=N/c4nccs4)NC3=O)c2C)cc1,0
CHEMBL4203449,64.0,ug.mL-1,O=C(O)c1cccc(/C=C2\SC(=S)N([C@H](Cc3ccccc3)C(=O)O)C2=O)c1,0
CHEMBL4750193,0.016,ug.mL-1,CC(c1cccc(F)c1)N1CC2(CCN(c3nc(=O)c4cc(C(F)(F)F)cc([N+](=O)[O-])c4s3)CC2)C1,1
CHEMBL5550012,0.006,ug.mL-1,COc1cc([C@@](O)(CCN(C)C)[C@H](c2cc3cc(Br)ccc3nc2OC)c2ccnc(OC)c2F)cc(OC)n1,1
CHEMBL3427206,50.0,ug.mL-1,COc1cccc(C(=O)On2c(-c3ccccc3)nc3ccccc3c2=O)c1,0
