Molecule ChEMBL ID,MIC,Units,Smiles,Label
CHEMBL4459523,1.91,ug.mL-1,COc1ccccc1C(=O)/C=C/C(=O)OC(C)C,1
CHEMBL276840,256.0,ug.mL-1,CCCCCNCc1cccc(C(F)(F)F)c1.Cl,0
CHEMBL1669612,12.5,ug.mL-1,O=C1CCCc2nc(-c3cccs3)ccc21,0
CHEMBL4782232,0.037,ug.mL-1,O=c1nc(N2CCC3(CC2)CN(C(c2ccc(F)cc2)c2ccc(F)cc2)C3)sc2c([N+](=O)[O-])cc(C(F)(F)F)cc12,1
CHEMBL3099388,12.5,ug.mL-1,O=C(Cn1cc(-c2cc3ccccc3c3ccccc23)nn1)N1c2ccccc2Sc2ccc(C(F)(F)F)cc21,0
CHEMBL4748896,50.0,ug.mL-1,CC(=O)OC[C@]12CCC(=O)OC(C)(C)[C@@H]1CCC1=C2CC[C@]2(C)[C@@H]([C@H](C)[C@H](C/C=C(/C)C(=O)O)OC(C)=O)CC[C@@]12C,0
CHEMBL476469,6.25,ug.mL-1,CCOC(=O)C1=NOC(c2ccc(N3CCN(C(=O)Nc4ccccc4)CC3)cc2)C1,1
CHEMBL247781,32.0,ug.mL-1,N#CCSc1ncnc2c1cnn2Cc1ccccc1,0
CHEMBL2299169,6.25,ug.mL-1,O=C1C(=O)N(CCSC(=S)N2CCN(c3ccc(Cl)c(Cl)c3)CC2)c2ccc(Cl)cc21,1
CHEMBL550385,12.5,ug.mL-1,CC(C)=CCc1c(O)c2c(c3c1OC(C)(C)C=C3)O[C@H](c1ccc(O)cc1O)CC2=O,0
CHEMBL396835,250.0,ug.mL-1,c1ccc(CSc2ncnc3c2cnn3CC2CC2)cc1,0
CHEMBL1306725,256.0,ug.mL-1,CCOc1ccc(/C=C/C(=O)c2c(O)cc(C)oc2=O)cc1,0
CHEMBL475872,0.39,ug.mL-1,CCOC(=O)c1cc(COc2cc(C(F)(F)F)nc3cc(C(F)(F)F)cc(C(F)(F)F)c23)on1,1
CHEMBL5284669,1.0,ug.mL-1,CCCCCCCCCN1CCC(C2c3ccccc3-c3ccccc32)C1,1
CHEMBL2030504,32.0,ug.mL-1,CCc1nc(-c2ccc3cc(OC)ccc3c2)c(-c2ccncc2)[nH]1,0
CHEMBL261295,100.0,ug.mL-1,COc1ccc(/C=C/C(=O)CC(=O)/C=C/c2ccc(OC)c(OC)c2)cc1OC,0
CHEMBL2282562,200.0,ug.mL-1,CC(=O)N1N=C(c2ccc(Nc3cc(=O)oc4ccccc34)cc2)CC1c1ccc(C)cc1,0
CHEMBL3216563,2.0,ug.mL-1,CC(C)=CCC/C(C)=C/CNCCN[C@]12O[C@H]3C4C5CC(C6C5C3C61)C42.Cl.Cl,1
CHEMBL1077789,3.9,ug.mL-1,CCC(C)CCN1CCN([C@@H](Cc2ccccc2)CN2CCCC2CN2CCNC[C@@H]2Cc2ccccc2)C[C@@H]1Cc1ccccc1,1
CHEMBL5187959,0.057,ug.mL-1,CCOC(=O)NC(=O)c1ccsc1NC(=O)c1ccc(S(=O)(=O)N2CCCC2)cc1,1
CHEMBL510960,1.3,ug.mL-1,CCCCCCCCCCNC[C@H]1O[C@H](O[C@H]2O[C@H](CNCCCCCCCCCC)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,1
CHEMBL2281755,100.0,ug.mL-1,COc1cccc(C(=O)O[C@H]2CCC(=O)c3ccccc32)c1,0
CHEMBL4451468,2.0,ug.mL-1,CC(C)c1ccc(-c2nc(CN3CCN(c4ccnc5cc(-c6ccncc6)ccc45)CC3)no2)cc1,1
CHEMBL3246529,7.5,ug.mL-1,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/NC(=O)CN5CCN(c6ccc(C(C)(C)C)cc6)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,1
CHEMBL452694,10.0,ug.mL-1,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(c3[C@H]2O)C2=NC3(CC[N+]([O-])(CC(C)C)CC3)NC2=C(NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)C4=O,1
CHEMBL3740437,1.6,ug.mL-1,N=c1sc(-c2ccc(Cl)cc2)nn1CC(=O)N1c2ccccc2Sc2ccc(Cl)cc21,1
CHEMBL4468960,1.48,ug.mL-1,COc1ccc(OC)c(C(=O)/C=C/C(=O)OC(C)C)c1,1
CHEMBL4085273,18.8,ug.mL-1,CCCCCCc1cc2c(=O)n(CCSc3nc(-c4cc(OC)c(OC)c(OC)c4)c(C#N)c(=O)[nH]3)cnc2s1,0
CHEMBL4245107,0.066,ug.mL-1,O=C(NCc1ccc2c(c1)CN(c1ccc(F)cc1)C2)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,1
CHEMBL2392729,25.0,ug.mL-1,CCn1ccc(NC(=O)NC23CC4CC(CC(C4)C2)C3)n1,0
CHEMBL4204194,0.78,ug.mL-1,CCCCCc1ccc(-c2cn(CC(O)COc3ccc4c(c3)OC3(CCCCC3)CC4=O)nn2)cc1,1
CHEMBL3126164,100.0,ug.mL-1,CCN(CC)c1cc2[nH]c(C3CCCCC3)nc2cc1NC(=O)c1ccc(OC(F)(F)F)cc1,0
CHEMBL5427860,8.0,ug.mL-1,COc1ccc(-c2ccn(-c3ccc(NC(=S)Nc4ccccc4)cc3)n2)cc1OC,1
CHEMBL331600,0.5,ug.mL-1,CCCCCCCCCCCC(C)OC(=O)c1cnc(Cl)cn1,1
CHEMBL2205106,25.0,ug.mL-1,COc1c(-c2ccc(O)cc2)oc2c3c(ccc2c1=O)OC(C)(C)[C@H](OC(C)=O)[C@@H]3OC(C)=O,0
CHEMBL1098813,25.0,ug.mL-1,CS(=O)(=O)C1=C(N)C(=O)c2cccnc2C1=O,0
CHEMBL4585835,7.9,ug.mL-1,CCOC(=O)c1nc(C(C)C)sc1-c1ccc2c(c1)OCO2,1
CHEMBL4646703,1.0,ug.mL-1,Cc1cc(CNCCNc2ccccc2)c(C)n1-c1ccc(Cl)cc1,1
CHEMBL5268279,2.0,ug.mL-1,Cc1cc(-c2cn(C[C@@]3(C)Cn4cc([N+](=O)[O-])nc4O3)nn2)ccc1F,1
CHEMBL1630926,12.1,ug.mL-1,O=C1Nc2ccc(Cl)cc2[C@]12N1CSC[C@H]1[C@H](c1ccc([N+](=O)[O-])cc1)[C@]21Cc2ccccc2C1=O,1
CHEMBL2031950,79.0,ug.mL-1,O=C(NC12CC3CC(CC(C3)C1)C2)N[C@H]1CC[C@H](OC(=O)c2ccccc2)CC1,0
CHEMBL117541,0.25,ug.mL-1,CCCCCCCCCCCOC(=O)c1cnc(Cl)cn1,1
CHEMBL598709,1.0,ug.mL-1,CCCCCCCC/C=N/NC(=O)c1cnc2ccc(F)cc2c1N[C@@H](CSc1ccccc1)CC(=O)N(C)C,1
CHEMBL4794861,0.45,ug.mL-1,O=c1cc(-c2ccc(O)cc2)oc2ccc(O)c(CN3CCC3)c12,1
CHEMBL409409,8.0,ug.mL-1,O[C@H]1[C@H](O)[C@@H](CN(CC2CCCCC2)CC2CCCCC2)O[C@@H]1/C=C/[C@H]1O[C@H](CN(CC2CCCCC2)CC2CCCCC2)[C@@H](O)[C@@H]1O,1
CHEMBL463284,50.0,ug.mL-1,COc1cc2c(cc1OC)-c1c3c(cc4ccnc(c14)C2=O)OCO3,0
CHEMBL3098884,2.5,ug.mL-1,COc1cc(NC(=O)c2cccc(C(C)C#N)c2)ccc1-n1cnc(Cl)c1,1
CHEMBL1834611,62.5,ug.mL-1,CC1=C(c2nnc(/N=C3\C(=O)Nc4ccc(Cl)cc43)s2)C(c2ccccc2)NC(=S)N1,0
CHEMBL323698,30.0,ug.mL-1,CC(C)C[C@H](NC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O)C(=O)N[C@H](C(=O)NC[C@H]1C[C@@H](O)[C@H](n2ccc(=O)[nH]c2=O)O1)[C@H](C)N(C)C(=O)CN,0
CHEMBL552132,50.0,ug.mL-1,C=CC(C)(C)c1c2c(c(OC)c3ccc(=O)oc13)C=CC(C)(C)O2,0
CHEMBL4237578,0.015,ug.mL-1,CNc1cc(F)cc2c1[nH]c1nc(CNC(=O)c3cnc(C)o3)nc(N3CCC(CN)C3)c12,1
CHEMBL5271117,4.0,ug.mL-1,C[C@]1(Cn2cc(-c3ccc(C(F)(F)F)cc3)nn2)Cn2cc([N+](=O)[O-])nc2O1,1
CHEMBL3823294,3.12,ug.mL-1,O=C(Cn1cc(-c2ccccc2)nn1)Nc1nc(-c2ccc3oc4ccccc4c3c2)cs1,1
CHEMBL5315124,6.25,ug.mL-1,C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23.C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23.O,1
CHEMBL15616,12.5,ug.mL-1,CCCCCCCC/C=C\CCCCCCCC(=O)N1CCCC1,0
CHEMBL1210232,3.12,ug.mL-1,O=C(NNc1nc(N2CCCCC2)nc(N2CCc3ccccc3C2)n1)c1ccncc1,1
CHEMBL5177127,0.4,ug.mL-1,COc1ncc(-c2ccccc2)cc1[C@@H](c1ccccc1)[C@@](O)(CCN(C)C)c1cc(F)cc(F)c1,1
CHEMBL4573580,0.02,ug.mL-1,C[C@]1(CN2CCc3nc(-c4cccc(F)c4)ccc3C2)Cn2cc([N+](=O)[O-])nc2O1,1
CHEMBL4126763,25.0,ug.mL-1,CO[C@@H]1C[C@H]2C(C)(C)C(=O)CC[C@]2(C)C2=C1[C@]1(C)CC[C@H]([C@H](C)CC/C=C(\C)C(=O)O)[C@@]1(C)CC2,0
CHEMBL468021,4.0,ug.mL-1,Clc1ccc(C2=NN(c3ccccc3)[C@H](c3ccc(Cl)cc3Cl)[C@H]2n2ccnc2)c(Cl)c1,1
CHEMBL177,5.0,ug.mL-1,NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O,1
CHEMBL1818082,310.0,ug.mL-1,Cc1ccc2nc(Oc3ccc(Cl)cc3)c(C=O)cc2c1,0
CHEMBL3398353,25.0,ug.mL-1,CCCc1cc(=O)oc2c1c1c(c3oc(C(=O)NNC(=O)c4ccncc4)cc32)C=CC(C)(C)O1,0
CHEMBL485711,3.9,ug.mL-1,O=C1c2ccccc2C(=O)N1c1ccc(S(=O)(=O)Nc2ncccn2)cc1,1
CHEMBL4173510,25.0,ug.mL-1,N#Cc1ccc(-c2nnc(-c3n[nH]cc3-c3ccc(Cl)cc3)o2)cc1,0
CHEMBL168899,8.0,ug.mL-1,O=C1Nc2ccccc2B(O)N1c1ccccc1,1
CHEMBL214300,0.5,ug.mL-1,Cc1c(CN2CCSCC2)cc(-c2ccccc2F)n1-c1ccc(F)cc1,1
CHEMBL387847,0.62,ug.mL-1,C=CB(Oc1cccc2cccnc12)c1cccc(C#N)c1,1
CHEMBL234342,6.25,ug.mL-1,CC(=O)NNC(=O)CSc1nnc(Cc2csc(NC(=O)CCl)n2)n1NC(=O)c1ccc(Cl)cc1,1
CHEMBL5194301,0.709,ug.mL-1,CC(C)c1nnc(-c2ccc([N+](=O)[O-])o2)o1,1
CHEMBL4555174,8.0,ug.mL-1,CO/N=C1/C(=O)N(Cc2cn(CC(=O)N3CCN(c4cc5c(cc4F)c(=O)c(C(=O)O)cn5C4CC4)CC3)nn2)c2ccc(C)cc21,1
CHEMBL4204642,1.6,ug.mL-1,Cn1c(-c2cccc(Cl)c2Cl)nc2cc(-c3nc(-c4ccc(Cl)cc4)no3)ccc21,1
CHEMBL242151,6.25,ug.mL-1,CC(=O)Nc1nc(Cc2nnc(SCC#N)n2NC(=O)c2ccccc2)cs1,1
CHEMBL1289213,12.5,ug.mL-1,COc1ccc(C2CC2C(=O)c2ccc(N3CCN(C)CC3)cc2)cc1OC,0
CHEMBL389723,35.87,ug.mL-1,c1ccc(-c2nnc(-c3ccncc3)o2)cc1,0
CHEMBL4585082,1.85,ug.mL-1,COC(=O)/C=C/C(=O)c1ccc(Cl)cc1Cl,1
CHEMBL2283358,500.0,ug.mL-1,O=C(CSc1nnc(-c2cc3ccccc3oc2=O)o1)Nc1ccccc1,0
CHEMBL178000,6.25,ug.mL-1,COC(=O)c1c(C(C)(C)C)[n+]([O-])c2ccc(Cl)cc2[n+]1[O-],1
CHEMBL2159994,1.0,ug.mL-1,O=C(O)c1cn(C2CC2)c2cc(N3CCN(Cc4ccccc4)CC3)c(F)cc2c1=O,1
CHEMBL204148,6.25,ug.mL-1,O=C(O)CCSc1nnc(-c2ccc([N+](=O)[O-])o2)s1,1
CHEMBL3394649,125.0,ug.mL-1,COc1ccccc1SC1CC(=O)N1C(=O)NCc1ccccc1,0
CHEMBL454449,128.0,ug.mL-1,CC[C@H](CC[C@@H](C)[C@H]1CC[C@@]2(C)[C@@H]3CC=C4C[C@@H](O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C,0
CHEMBL3735773,6.25,ug.mL-1,Cc1cc(C)c2c(Cn3cc(COc4ccc(OCc5cn(Cc6cc(=O)oc7cc(C)cc(C)c67)nn5)cc4)nn3)cc(=O)oc2c1,1
CHEMBL3358777,12.5,ug.mL-1,c1ccc(-c2ccnc(-c3nc4ccccc4[nH]3)c2)cc1,0
CHEMBL498403,1.25,ug.mL-1,CCOc1cccc(/C=N/NC(=O)c2ccncc2)c1,1
CHEMBL3937714,100.0,ug.mL-1,OC1(CNc2ccc(N3CCOCC3)c(F)c2)CCN(Cc2ccccc2)C1,0
CHEMBL4563615,100.0,ug.mL-1,COc1ccc2cc1Oc1cc(ccc1OC)CCC(NC(=O)NCCc1ccccc1)CCCC2,0
CHEMBL64089,32.0,ug.mL-1,CCCCCCCCCCCCCCCCCC/N=C(\S)c1cccnc1S,0
CHEMBL501716,6.25,ug.mL-1,C/C(=N\Nc1csc(-c2ccc3c(c2)CCC3)n1)c1ccc(Cl)cc1,1
CHEMBL3126146,6.25,ug.mL-1,O=C(Nc1cc2nc(C3CCCCC3)[nH]c2cc1N1CCCC1)c1ccccc1,1
CHEMBL5182664,32.0,ug.mL-1,CC(=O)c1cccc(-n2cc(CSc3nc(=O)c4cc(Cl)cc([N+](=O)[O-])c4s3)nn2)c1,0
CHEMBL2282287,50.0,ug.mL-1,Cc1cccc2sc(Nn3c(-c4ccc(Cl)cc4)nnc3-c3cccnc3)nc12,0
CHEMBL378611,0.125,ug.mL-1,Cc1ccc(-c2cc(CN3CCSCC3)c(C)n2-c2ccc(F)cc2)cc1,1
CHEMBL4463705,2.682,ug.mL-1,CCCc1nc2ccc(F)cn2c1C(=O)NCCOc1ccc(Br)cc1,1
CHEMBL301576,12.5,ug.mL-1,COC1=C(OC)/C(=C/Cn2cnc3c(N)ncnc32)OC1=O,0
CHEMBL479907,64.0,ug.mL-1,Oc1c(Cl)cc(Cl)cc1-c1c(Cl)cc(Cl)c(Oc2ccc(Cl)cc2Cl)c1O,0
CHEMBL4451912,1000.0,ug.mL-1,CC1=C(C(=O)NNC(=O)c2ccncc2)C(c2ccccn2)N2C(=N1)Sc1cccc(C)c12,0
CHEMBL1215754,6.25,ug.mL-1,CC(=O)O[C@@H]1C[C@H]2C(C)(C)C(=O)C=C[C@]2(C)[C@H]2CC[C@]3(C)C(=CC(=O)[C@H]3c3ccoc3)[C@@]21C,1
CHEMBL3260380,32.0,ug.mL-1,Cc1cc(C)n2nc(C(=O)NS(=O)(=O)c3ccccc3Cl)nc2n1,0
CHEMBL49190,3.13,ug.mL-1,Cc1cc(NC(=N)c2ccccc2)ccc1-c1ccc(-c2ccc(NC(=N)c3ccccc3)cc2C)o1,1
CHEMBL1089099,3.464,ug.mL-1,COc1ccc(CCNC(=O)c2c(C)[n+]([O-])c3ccccc3[n+]2[O-])cc1,1
CHEMBL1258343,0.25,ug.mL-1,CCOC(=O)C1=C(C)NC(=O)NC1c1cn(-c2ccccc2)nc1-c1ccc(Cl)cc1,1
CHEMBL4561578,8.1,ug.mL-1,CCOC(=O)c1nc(C(C)C)sc1-c1ccc2nccnc2c1,1
CHEMBL1801843,1.55,ug.mL-1,CC(C)(C)OC(=O)NCC(=O)O/N=C1\c2ccccc2-c2c1c(N1CCN(c3ccccn3)CC1)nc1ccc(Br)cc21,1
CHEMBL2430627,24.22,ug.mL-1,N#Cc1c(NC(=O)c2ccco2)[n+]([O-])c2ccc(C(F)(F)F)cc2[n+]1[O-],0
CHEMBL275353,256.0,ug.mL-1,CCNCc1ccc(C(F)(F)F)cc1.Cl,0
CHEMBL2418903,1.0,ug.mL-1,O=[N+]([O-])c1ccc(OCc2nc3cc(Br)ccc3n2S(=O)(=O)c2ccccc2[N+](=O)[O-])cc1,1
CHEMBL1077700,2.0,ug.mL-1,c1ccc(C[C@H]2CNCCN2CC2CCCN2C[C@H](Cc2ccccc2)N2CCN(CCCC3CCCCC3)[C@@H](Cc3ccccc3)C2)cc1,1
CHEMBL2023785,4.0,ug.mL-1,CCCCCCc1cn(Cc2cccc(OC)c2)nn1,1
CHEMBL440973,1.56,ug.mL-1,CO/N=c1\[nH]cnc2c1[n+](C/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)cn2Cc1ccccc1,1
CHEMBL1669324,100.0,ug.mL-1,CCCCCCCCCCCCCCCCCC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]1SC(=S)N(C)C,0
