mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_features,param_max_leaf_nodes,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.06563453674316407,0.0018099608978988009,0.006401586532592774,0.0004885861024417677,1,20,10,"{'max_features': 1, 'max_leaf_nodes': 20, 'n_estimators': 10}",0.5921625544267054,0.5718432510885341,0.5711519845111326,0.595837366892546,0.5779283639883833,0.5817847041814603,0.010314414010069974,41
0.10790138244628907,0.002813574621084013,0.008600425720214844,0.0004877217960220074,1,20,30,"{'max_features': 1, 'max_leaf_nodes': 20, 'n_estimators': 30}",0.5960328979196904,0.571359458151911,0.5605033881897387,0.57405614714424,0.5735721200387222,0.5751048022888605,0.011564280138630376,42
0.15269880294799804,0.0028315067704811465,0.011490964889526367,0.0011362447135432566,1,20,50,"{'max_features': 1, 'max_leaf_nodes': 20, 'n_estimators': 50}",0.5810353168843735,0.5626511852926948,0.5575992255566312,0.5634075508228461,0.5624394966118103,0.5654265550336712,0.00806972250417752,43
0.19470715522766113,0.0023526922718938095,0.01429743766784668,0.001147729402429578,1,20,70,"{'max_features': 1, 'max_leaf_nodes': 20, 'n_estimators': 70}",0.5747460087082729,0.563618771165941,0.5571151984511132,0.5590513068731849,0.5609874152952565,0.5631037400987537,0.0062059866606926995,45
0.23541741371154784,0.003464038104293674,0.016002702713012695,3.4825438759823254e-06,1,20,90,"{'max_features': 1, 'max_leaf_nodes': 20, 'n_estimators': 90}",0.5728108369617804,0.563618771165941,0.5571151984511132,0.5605033881897387,0.5634075508228461,0.5634911491182839,0.005224161556433715,44
0.07142586708068847,0.003611355245512205,0.006997871398925781,0.0006625880844523645,1,30,10,"{'max_features': 1, 'max_leaf_nodes': 30, 'n_estimators': 10}",0.6008708272859217,0.579100145137881,0.5726040658276863,0.6021297192642788,0.5948693126815101,0.5899148140394556,0.011919767277965057,37
0.12051491737365723,0.00849937173412394,0.009819841384887696,0.0007282510325163365,1,30,30,"{'max_features': 1, 'max_leaf_nodes': 30, 'n_estimators': 30}",0.6105466860183841,0.5921625544267054,0.5726040658276863,0.5880929332042595,0.6001936108422071,0.5927199700638485,0.012649244196698991,36
0.17380638122558595,0.011445127946319503,0.013065195083618164,0.0012121496058147881,1,30,50,"{'max_features': 1, 'max_leaf_nodes': 30, 'n_estimators': 50}",0.6003870343492985,0.579100145137881,0.5750242013552759,0.5769603097773476,0.5861568247821878,0.5835257030803981,0.009232472880846177,38
0.2125579833984375,0.009020544492825456,0.01585526466369629,0.0022805371846459583,1,30,70,"{'max_features': 1, 'max_leaf_nodes': 30, 'n_estimators': 70}",0.5926463473633284,0.5853894533139816,0.5735721200387222,0.5735721200387222,0.5856727976766699,0.5821705676862848,0.007486459821937974,40
0.26190457344055174,0.01078587962105855,0.01896834373474121,0.002649021995854121,1,30,90,"{'max_features': 1, 'max_leaf_nodes': 30, 'n_estimators': 90}",0.5940977261731979,0.5757135945815192,0.5755082284607939,0.5808325266214908,0.5890609874152952,0.5830426126504594,0.007400031095048522,39
