tr_y,tr_pred,tr_proba,te_y,te_pred,te_proba
1.0,1.0,0.7878367304801941,0.0,1.0,0.6136448383331299
0.0,0.0,0.4545835256576538,0.0,1.0,0.6900439858436584
0.0,0.0,0.45773932337760925,1.0,1.0,0.5140811800956726
0.0,1.0,0.5659285187721252,1.0,0.0,0.4174131155014038
1.0,0.0,0.47738948464393616,0.0,0.0,0.45031866431236267
0.0,1.0,0.5489771366119385,1.0,0.0,0.4637492597103119
1.0,0.0,0.44282016158103943,0.0,0.0,0.32873427867889404
1.0,1.0,0.9449543356895447,1.0,0.0,0.3815085291862488
0.0,0.0,0.2030794620513916,1.0,1.0,0.7744079232215881
0.0,0.0,0.3812313377857208,1.0,0.0,0.3473660349845886
1.0,1.0,0.5329524874687195,1.0,1.0,0.6145111322402954
1.0,1.0,0.6114768981933594,0.0,0.0,0.3804958462715149
0.0,1.0,0.6045319437980652,0.0,0.0,0.17074289917945862
1.0,1.0,0.8648577332496643,0.0,0.0,0.3844137191772461
0.0,0.0,0.28448161482810974,1.0,1.0,0.6181086301803589
0.0,0.0,0.4045969843864441,0.0,0.0,0.42811906337738037
1.0,0.0,0.36543285846710205,0.0,0.0,0.2662712335586548
1.0,0.0,0.4745742082595825,1.0,1.0,0.900557816028595
0.0,0.0,0.2971746623516083,1.0,1.0,0.815934956073761
0.0,0.0,0.4832654595375061,0.0,0.0,0.36658889055252075
0.0,0.0,0.2616986632347107,0.0,0.0,0.4650357961654663
1.0,1.0,0.5316634774208069,1.0,0.0,0.3700284957885742
0.0,0.0,0.34969645738601685,1.0,1.0,0.5591176152229309
0.0,0.0,0.27266785502433777,1.0,1.0,0.584600567817688
1.0,1.0,0.9343668222427368,0.0,0.0,0.4403240382671356
1.0,0.0,0.46513891220092773,1.0,0.0,0.32429733872413635
0.0,0.0,0.1684972494840622,0.0,0.0,0.30970966815948486
0.0,0.0,0.2491067498922348,0.0,1.0,0.5635330677032471
1.0,1.0,0.6579844355583191,1.0,1.0,0.5138261914253235
1.0,0.0,0.4478086531162262,0.0,1.0,0.5438665151596069
0.0,0.0,0.34359145164489746,1.0,1.0,0.7544834017753601
1.0,0.0,0.48112717270851135,1.0,1.0,0.7351670861244202
1.0,0.0,0.47729572653770447,1.0,0.0,0.42160308361053467
1.0,1.0,0.6352705359458923,0.0,1.0,0.5116890072822571
1.0,0.0,0.4650622010231018,1.0,1.0,0.6640327572822571
1.0,1.0,0.7549306154251099,0.0,0.0,0.36076030135154724
0.0,0.0,0.499332070350647,1.0,1.0,0.5246087908744812
1.0,1.0,0.7341708540916443,1.0,1.0,0.9323761463165283
0.0,0.0,0.4872443974018097,0.0,0.0,0.47798269987106323
0.0,0.0,0.3102183938026428,1.0,0.0,0.41035619378089905
1.0,0.0,0.404777467250824,0.0,0.0,0.3432141840457916
1.0,0.0,0.43342629075050354,1.0,0.0,0.41231751441955566
1.0,0.0,0.49504438042640686,1.0,0.0,0.47121694684028625
0.0,0.0,0.21623842418193817,0.0,0.0,0.3090900480747223
0.0,0.0,0.4054007828235626,0.0,0.0,0.25244656205177307
1.0,1.0,0.8736977577209473,1.0,0.0,0.35503485798835754
0.0,1.0,0.6299775242805481,1.0,1.0,0.8128320574760437
0.0,0.0,0.3076462149620056,0.0,0.0,0.23198086023330688
0.0,0.0,0.36755967140197754,0.0,1.0,0.5430320501327515
0.0,0.0,0.2957671284675598,1.0,1.0,0.7398453950881958
1.0,1.0,0.8709527254104614,0.0,0.0,0.3114751875400543
0.0,0.0,0.36979880928993225,0.0,0.0,0.2802248001098633
1.0,1.0,0.5745421051979065,0.0,0.0,0.2970161736011505
0.0,0.0,0.3288477063179016,0.0,0.0,0.33532199263572693
1.0,1.0,0.6266564130783081,1.0,0.0,0.3736349642276764
0.0,0.0,0.4255125820636749,1.0,0.0,0.44364747405052185
0.0,0.0,0.44239726662635803,0.0,0.0,0.4933653473854065
0.0,0.0,0.4242977201938629,0.0,0.0,0.33657121658325195
1.0,0.0,0.41492363810539246,1.0,0.0,0.450325608253479
1.0,1.0,0.6711978316307068,1.0,1.0,0.7506595253944397
1.0,1.0,0.6308155059814453,0.0,0.0,0.4455329179763794
1.0,1.0,0.5794332027435303,1.0,1.0,0.8368247151374817
1.0,0.0,0.3625757098197937,1.0,1.0,0.6731671094894409
0.0,0.0,0.3002886474132538,0.0,0.0,0.3143371641635895
1.0,1.0,0.5353797674179077,0.0,0.0,0.36192089319229126
1.0,1.0,0.7757012844085693,1.0,1.0,0.7176140546798706
1.0,0.0,0.3607228398323059,1.0,1.0,0.7207193970680237
0.0,0.0,0.281371533870697,1.0,1.0,0.7258875966072083
1.0,1.0,0.5557822585105896,1.0,1.0,0.8460512161254883
1.0,1.0,0.7136843204498291,0.0,0.0,0.28685852885246277
1.0,1.0,0.709243893623352,1.0,1.0,0.5482979416847229
0.0,0.0,0.17190606892108917,1.0,1.0,0.7587194442749023
0.0,0.0,0.22954542934894562,1.0,0.0,0.43850818276405334
0.0,0.0,0.3494144082069397,0.0,1.0,0.5700395703315735
0.0,0.0,0.3394656181335449,1.0,1.0,0.8461251258850098
0.0,0.0,0.3608887493610382,0.0,0.0,0.38445112109184265
1.0,0.0,0.395940363407135,0.0,0.0,0.23027022182941437
0.0,0.0,0.19522450864315033,1.0,1.0,0.7002737522125244
1.0,1.0,0.7312245965003967,0.0,0.0,0.3824988305568695
1.0,1.0,0.6292260885238647,0.0,1.0,0.5073843002319336
0.0,0.0,0.44786393642425537,0.0,0.0,0.456015020608902
0.0,0.0,0.29796046018600464,0.0,0.0,0.25508958101272583
1.0,1.0,0.8131585717201233,0.0,1.0,0.5065487623214722
0.0,0.0,0.2698473036289215,1.0,0.0,0.4066096246242523
0.0,0.0,0.3433782756328583,1.0,0.0,0.36671558022499084
1.0,1.0,0.7560294270515442,1.0,0.0,0.4539782702922821
1.0,0.0,0.41778644919395447,0.0,0.0,0.364095538854599
1.0,0.0,0.4324764907360077,1.0,0.0,0.35744354128837585
1.0,0.0,0.3142397105693817,0.0,0.0,0.33769676089286804
0.0,0.0,0.3242586553096771,0.0,1.0,0.5228101015090942
0.0,0.0,0.4108707308769226,0.0,0.0,0.3719649910926819
1.0,1.0,0.5803026556968689,0.0,0.0,0.3521884083747864
0.0,0.0,0.2574678063392639,1.0,1.0,0.6133460998535156
0.0,0.0,0.2461196482181549,1.0,1.0,0.7154454588890076
0.0,1.0,0.5680021643638611,0.0,0.0,0.4318392276763916
0.0,0.0,0.3681524395942688,0.0,1.0,0.6173505783081055
1.0,0.0,0.34112635254859924,0.0,0.0,0.3725022077560425
0.0,0.0,0.28201305866241455,0.0,0.0,0.2653627097606659
1.0,1.0,0.5471559762954712,1.0,1.0,0.9323484897613525
0.0,1.0,0.5654191970825195,1.0,0.0,0.32196617126464844
1.0,1.0,0.6125458478927612,1.0,1.0,0.7062248587608337
1.0,1.0,0.8944404125213623,0.0,0.0,0.4468950033187866
0.0,0.0,0.3645992577075958,1.0,0.0,0.31699368357658386
0.0,0.0,0.3092869818210602,0.0,0.0,0.3423088788986206
0.0,0.0,0.3981814384460449,1.0,1.0,0.8150293231010437
1.0,0.0,0.453684538602829,0.0,0.0,0.29634958505630493
0.0,0.0,0.29058730602264404,0.0,0.0,0.3221096396446228
1.0,1.0,0.5679851770401001,0.0,1.0,0.5396979451179504
1.0,0.0,0.45595553517341614,1.0,1.0,0.7031452059745789
0.0,0.0,0.38335955142974854,0.0,0.0,0.43428826332092285
0.0,0.0,0.3855578899383545,0.0,1.0,0.6334956884384155
0.0,0.0,0.4072023630142212,0.0,0.0,0.2801433801651001
1.0,1.0,0.880031943321228,1.0,1.0,0.5467122197151184
1.0,0.0,0.4587690234184265,1.0,1.0,0.5338015556335449
0.0,0.0,0.4101032316684723,1.0,0.0,0.24118180572986603
1.0,0.0,0.4082494378089905,0.0,0.0,0.33910617232322693
0.0,0.0,0.3674931228160858,1.0,1.0,0.5116886496543884
0.0,0.0,0.4208817183971405,1.0,1.0,0.6275146007537842
0.0,0.0,0.29485732316970825,0.0,1.0,0.5726415514945984
1.0,1.0,0.8367017507553101,1.0,1.0,0.8084334135055542
1.0,0.0,0.43243974447250366,1.0,0.0,0.44904035329818726
1.0,1.0,0.6964176297187805,1.0,0.0,0.3453483581542969
1.0,0.0,0.277875691652298,1.0,1.0,0.9375430941581726
0.0,0.0,0.21608316898345947,0.0,0.0,0.3962022066116333
0.0,1.0,0.5253264904022217,0.0,0.0,0.4154365658760071
1.0,0.0,0.4075862765312195,1.0,1.0,0.505869448184967
0.0,0.0,0.3566852807998657,0.0,0.0,0.22813205420970917
0.0,0.0,0.45075780153274536,0.0,0.0,0.34065142273902893
1.0,0.0,0.4936768710613251,0.0,0.0,0.2661847472190857
0.0,0.0,0.3941289782524109,0.0,0.0,0.34976163506507874
0.0,0.0,0.3031030297279358,1.0,0.0,0.3404621481895447
0.0,0.0,0.2413785606622696,0.0,0.0,0.30860787630081177
0.0,0.0,0.42400720715522766,0.0,0.0,0.3258085548877716
1.0,1.0,0.5677295923233032,0.0,0.0,0.33991479873657227
0.0,0.0,0.4302603602409363,1.0,0.0,0.46334779262542725
1.0,0.0,0.44282016158103943,1.0,0.0,0.45032215118408203
1.0,1.0,0.6653192639350891,1.0,0.0,0.3435705006122589
1.0,1.0,0.6485159993171692,0.0,0.0,0.42910876870155334
0.0,1.0,0.5945608019828796,0.0,0.0,0.3057750165462494
1.0,1.0,0.7976808547973633,1.0,0.0,0.4638276696205139
1.0,0.0,0.43102192878723145,1.0,1.0,0.5767260193824768
0.0,0.0,0.3084530830383301,1.0,1.0,0.7010344862937927
0.0,1.0,0.5306761860847473,0.0,1.0,0.5329803824424744
0.0,0.0,0.19062753021717072,1.0,0.0,0.3400517404079437
0.0,0.0,0.44048506021499634,0.0,0.0,0.2611757814884186
1.0,1.0,0.6314756870269775,0.0,0.0,0.3091208338737488
0.0,0.0,0.3027069568634033,0.0,1.0,0.6092665195465088
0.0,0.0,0.47236642241477966,0.0,1.0,0.7459907531738281
0.0,0.0,0.245505228638649,1.0,1.0,0.9541332721710205
1.0,0.0,0.363820880651474,0.0,1.0,0.5356811881065369
0.0,0.0,0.2657648026943207,0.0,1.0,0.5898452401161194
0.0,0.0,0.3470108211040497,1.0,1.0,0.6189953088760376
1.0,1.0,0.7870935797691345,1.0,1.0,0.5968576073646545
1.0,1.0,0.502299427986145,1.0,1.0,0.8155120611190796
1.0,1.0,0.7986249327659607,0.0,0.0,0.3924124836921692
1.0,1.0,0.7443252205848694,1.0,0.0,0.3867315649986267
0.0,0.0,0.2547716200351715,0.0,0.0,0.41655731201171875
1.0,1.0,0.5415456891059875,0.0,0.0,0.32127949595451355
0.0,0.0,0.3113516867160797,0.0,0.0,0.487182080745697
1.0,1.0,0.5182728171348572,1.0,1.0,0.9210781455039978
0.0,0.0,0.28498417139053345,1.0,1.0,0.6262997388839722
1.0,1.0,0.734725832939148,1.0,1.0,0.8947954773902893
0.0,0.0,0.33020713925361633,0.0,1.0,0.6542945504188538
0.0,0.0,0.17074289917945862,0.0,0.0,0.459104061126709
0.0,0.0,0.4632640779018402,0.0,0.0,0.40013188123703003
0.0,0.0,0.3766297698020935,1.0,1.0,0.5544896125793457
0.0,0.0,0.4219793379306793,0.0,0.0,0.4371356964111328
0.0,0.0,0.17074289917945862,1.0,0.0,0.3910702168941498
0.0,0.0,0.3916250169277191,1.0,0.0,0.377090722322464
1.0,1.0,0.8570689558982849,1.0,0.0,0.26174378395080566
1.0,1.0,0.6369010210037231,0.0,1.0,0.58873051404953
0.0,0.0,0.2552472651004791,1.0,1.0,0.5366317629814148
1.0,0.0,0.314108669757843,1.0,0.0,0.2641732096672058
0.0,1.0,0.5965448021888733,0.0,0.0,0.3543839454650879
1.0,1.0,0.5395218133926392,0.0,1.0,0.5259430408477783
0.0,0.0,0.3038477301597595,0.0,0.0,0.21738506853580475
0.0,0.0,0.4354301393032074,0.0,0.0,0.2709125876426697
1.0,0.0,0.42465269565582275,1.0,1.0,0.5562503933906555
1.0,1.0,0.622072696685791,1.0,1.0,0.6136233806610107
1.0,0.0,0.4888751208782196,0.0,0.0,0.33426183462142944
1.0,0.0,0.4941258132457733,0.0,0.0,0.3668425679206848
1.0,1.0,0.5041491389274597,1.0,0.0,0.3111763000488281
0.0,0.0,0.3757297992706299,0.0,0.0,0.30459868907928467
0.0,0.0,0.39420920610427856,1.0,1.0,0.6780470013618469
1.0,1.0,0.7533653974533081,1.0,0.0,0.37142881751060486
1.0,1.0,0.5572878122329712,1.0,0.0,0.3258384168148041
1.0,0.0,0.30276671051979065,0.0,0.0,0.33740121126174927
0.0,0.0,0.3503282964229584,0.0,0.0,0.18103137612342834
0.0,1.0,0.5683692097663879,0.0,0.0,0.4318993389606476
0.0,0.0,0.3444756269454956,1.0,1.0,0.5421347618103027
0.0,0.0,0.4657211899757385,1.0,1.0,0.5887861251831055
0.0,0.0,0.33011582493782043,0.0,0.0,0.31506291031837463
1.0,1.0,0.8406137228012085,1.0,0.0,0.4550207555294037
1.0,0.0,0.38122066855430603,1.0,0.0,0.45035743713378906
0.0,0.0,0.36047354340553284,1.0,0.0,0.43840885162353516
0.0,0.0,0.24879202246665955,1.0,1.0,0.871437132358551
0.0,0.0,0.29364320635795593,0.0,0.0,0.40687790513038635
1.0,1.0,0.7580413222312927,1.0,1.0,0.7330430746078491
0.0,0.0,0.39631327986717224,1.0,1.0,0.701465904712677
1.0,0.0,0.4140840768814087,1.0,1.0,0.8066409826278687
0.0,0.0,0.25687935948371887,0.0,0.0,0.3658040165901184
0.0,0.0,0.47661444544792175,0.0,1.0,0.7226876616477966
0.0,0.0,0.4662672281265259,0.0,0.0,0.2892531752586365
0.0,0.0,0.32656052708625793,1.0,0.0,0.4650745987892151
0.0,0.0,0.39014914631843567,1.0,0.0,0.36423471570014954
1.0,0.0,0.4299033582210541,1.0,1.0,0.8408374190330505
1.0,0.0,0.46699631214141846,1.0,1.0,0.6922243237495422
1.0,1.0,0.5478934645652771,1.0,1.0,0.6201320290565491
1.0,0.0,0.3090991675853729,0.0,0.0,0.2607325613498688
0.0,0.0,0.32264938950538635,0.0,1.0,0.5933288335800171
1.0,1.0,0.5991837382316589,0.0,1.0,0.5585347414016724
1.0,1.0,0.7043979167938232,0.0,0.0,0.3443530797958374
1.0,0.0,0.39370647072792053,1.0,1.0,0.5529182553291321
1.0,0.0,0.4957861304283142,0.0,1.0,0.6319364905357361
1.0,0.0,0.3458957374095917,1.0,1.0,0.7159548401832581
0.0,0.0,0.3334837257862091,1.0,1.0,0.5209433436393738
1.0,1.0,0.5827493667602539,0.0,0.0,0.27407222986221313
1.0,0.0,0.3967517018318176,0.0,0.0,0.4547877311706543
0.0,1.0,0.5181946754455566,0.0,0.0,0.42041921615600586
1.0,1.0,0.9509178996086121,0.0,0.0,0.23793035745620728
0.0,0.0,0.33782604336738586,0.0,0.0,0.36114808917045593
1.0,1.0,0.5398746132850647,0.0,0.0,0.3517233431339264
1.0,1.0,0.9042250514030457,1.0,0.0,0.4500177502632141
0.0,1.0,0.5121541619300842,1.0,1.0,0.5907663702964783
0.0,0.0,0.28946733474731445,0.0,0.0,0.2854752242565155
1.0,1.0,0.5259870886802673,1.0,1.0,0.9393948316574097
1.0,1.0,0.8987668752670288,0.0,0.0,0.2934266924858093
0.0,1.0,0.5158454179763794,0.0,1.0,0.6620533466339111
0.0,0.0,0.365705281496048,0.0,1.0,0.5032956600189209
1.0,0.0,0.4819328486919403,0.0,0.0,0.29466861486434937
1.0,1.0,0.7199640274047852,1.0,1.0,0.9180123805999756
0.0,0.0,0.3806787431240082,0.0,0.0,0.4072449505329132
0.0,0.0,0.4095520079135895,1.0,1.0,0.5479087233543396
0.0,0.0,0.2161981612443924,0.0,0.0,0.3475545346736908
0.0,0.0,0.2976985275745392,0.0,0.0,0.3902394771575928
0.0,1.0,0.5270366072654724,1.0,1.0,0.7962542176246643
0.0,0.0,0.28550758957862854,0.0,1.0,0.5839105844497681
0.0,0.0,0.4285755157470703,0.0,0.0,0.3856940269470215
0.0,0.0,0.27563682198524475,1.0,1.0,0.6287975311279297
1.0,1.0,0.7758650779724121,0.0,1.0,0.5581552386283875
0.0,0.0,0.29321327805519104,1.0,1.0,0.916912317276001
0.0,0.0,0.34566470980644226,1.0,1.0,0.576991081237793
0.0,0.0,0.2850109338760376,0.0,0.0,0.3438175320625305
0.0,0.0,0.49820923805236816,1.0,1.0,0.6898474097251892
1.0,1.0,0.5864325761795044,0.0,0.0,0.2416733056306839
0.0,0.0,0.482113778591156,0.0,0.0,0.49049124121665955
1.0,1.0,0.8429502844810486,0.0,0.0,0.4472106695175171
0.0,0.0,0.25985074043273926,1.0,0.0,0.34735023975372314
1.0,1.0,0.7798861265182495,1.0,0.0,0.3310607373714447
1.0,1.0,0.7111006379127502,0.0,0.0,0.32142919301986694
0.0,1.0,0.5054112076759338,1.0,0.0,0.3091535270214081
0.0,0.0,0.3591865003108978,1.0,1.0,0.7786057591438293
0.0,1.0,0.539124071598053,1.0,0.0,0.41745632886886597
1.0,0.0,0.4074448347091675,0.0,0.0,0.4298173785209656
1.0,0.0,0.3630307614803314,1.0,1.0,0.5947982668876648
0.0,0.0,0.13616152107715607,0.0,0.0,0.2841021716594696
0.0,0.0,0.25883132219314575,1.0,1.0,0.7184371948242188
0.0,0.0,0.3623255491256714,1.0,1.0,0.6842707395553589
1.0,1.0,0.7976066470146179,1.0,1.0,0.7895823121070862
0.0,0.0,0.22568941116333008,1.0,1.0,0.580634593963623
1.0,0.0,0.4176560342311859,0.0,0.0,0.25985074043273926
0.0,0.0,0.24492835998535156,0.0,0.0,0.2769108712673187
1.0,1.0,0.5075832009315491,1.0,0.0,0.3753354549407959
1.0,0.0,0.4736010730266571,0.0,0.0,0.39270249009132385
1.0,1.0,0.6819701194763184,0.0,0.0,0.4354535639286041
1.0,1.0,0.5116886496543884,0.0,0.0,0.29578399658203125
1.0,1.0,0.6039844155311584,0.0,0.0,0.3048509955406189
0.0,0.0,0.3274292051792145,1.0,1.0,0.7264289259910583
0.0,0.0,0.292530357837677,0.0,1.0,0.5286531448364258
0.0,0.0,0.22090929746627808,1.0,1.0,0.6860055923461914
