,N,C,c,c,c,c,c,c,O,C,F,F,F,c,c,n+,O-,c,c,c,Cl,c,Cl,c,c,n+,O-
N,0.11072697,0.0123513425,0.016305948,0.01626492,0.016278896,0.016391646,0.01643452,0.016456716,0.0081602475,0.012566021,0.01631251,0.016134517,0.0160397,0.016619306,0.016641947,0.03876323,0.08361948,0.016192248,0.016176192,0.016135033,0.018991861,0.016368458,0.019225795,0.0162727,0.016191019,0.03822598,0.0859662
C,0.03445617,0.008747766,0.006368502,0.006369381,0.0063171233,0.006329257,0.0063601555,0.006384893,0.079316065,0.008685549,0.03214085,0.032573745,0.03235763,0.0062996023,0.0063273874,0.022874733,0.07388283,0.00631225,0.006359973,0.0063489485,0.046198096,0.0063076154,0.046031035,0.006253993,0.0062675662,0.022400783,0.07189842
c,0.008411989,0.015413853,0.008933834,0.008926152,0.0091153905,0.009134341,0.009124651,0.009122279,0.10403642,0.016071541,0.0062777493,0.006360321,0.006422079,0.009134596,0.009133526,0.0026421233,0.068262115,0.009224698,0.009138576,0.009095026,0.0110334065,0.009287582,0.011212685,0.009336049,0.00930123,0.0026587292,0.06651088
c,0.008475082,0.01542915,0.008940181,0.008932159,0.009125963,0.009146033,0.009135673,0.009132491,0.10485092,0.016095946,0.0063050967,0.0063877823,0.0064498186,0.009142985,0.009142077,0.002627577,0.068257414,0.009231976,0.009147134,0.009104211,0.010930211,0.009298673,0.011107981,0.009345959,0.00931109,0.0026431696,0.06652098
c,0.00828307,0.015314552,0.008963826,0.0089562815,0.0091491705,0.0091707,0.009161572,0.009158715,0.1041675,0.015959926,0.0063764877,0.0064610215,0.0065238806,0.009166363,0.009166598,0.0026121812,0.06818112,0.009254217,0.009168532,0.009125866,0.011305921,0.009324274,0.011486096,0.009369784,0.00933723,0.0026278703,0.06645065
c,0.008511449,0.015419298,0.008942398,0.0089340685,0.009124521,0.009146849,0.009137782,0.009134599,0.101057746,0.016061975,0.006498703,0.006584436,0.0066482043,0.009147511,0.009146751,0.002689895,0.06841464,0.00922851,0.009144283,0.009102275,0.011257156,0.009298306,0.01143652,0.009341925,0.009308923,0.0027055424,0.06666905
c,0.008629009,0.015448551,0.008926593,0.008918193,0.009108309,0.009130925,0.009121577,0.009118018,0.100856476,0.016093766,0.006522504,0.006607946,0.006671725,0.009133372,0.009132116,0.0027039798,0.06848387,0.009211491,0.009127629,0.009085862,0.011068798,0.009280999,0.011246402,0.009324635,0.0092908945,0.0027191879,0.06673671
c,0.008633337,0.015415138,0.008922896,0.008914898,0.009104958,0.009127723,0.009118287,0.0091145625,0.101883,0.016060999,0.0064942846,0.0065788757,0.0066421316,0.0091307135,0.009129368,0.0026837545,0.068452425,0.009207956,0.009123299,0.009081385,0.010852177,0.009276987,0.011027952,0.009321507,0.0092871515,0.0026983703,0.06671222
O,0.07546787,0.028717326,0.008937579,0.008913995,0.009015044,0.009017966,0.008996216,0.008992015,0.039633818,0.029403279,0.013853131,0.013863873,0.013919285,0.009177597,0.009165178,0.007168355,0.03201379,0.009202999,0.009218183,0.009225619,0.03841325,0.009303253,0.03835736,0.0092904745,0.009316355,0.0073085385,0.032867137
C,0.03356916,0.008786031,0.006489031,0.006491119,0.0064370167,0.0064508114,0.006482878,0.006507846,0.07958442,0.008722091,0.03294836,0.033379972,0.033163115,0.006421052,0.006449165,0.022680635,0.07370146,0.0064303926,0.006477786,0.006466658,0.044865306,0.006426968,0.044703923,0.0063736485,0.006387446,0.022204543,0.07173753
F,0.03575875,0.01598434,0.010673112,0.010687565,0.010778601,0.01078956,0.010820301,0.010865977,0.018878784,0.016491022,0.0090660155,0.009101183,0.009143726,0.010710342,0.010753772,0.012560466,0.112073496,0.010827467,0.010832069,0.010836219,0.023522919,0.0110705355,0.023689521,0.0111539215,0.01120902,0.012398966,0.11085428
F,0.0364758,0.016161118,0.010667103,0.01068049,0.010774899,0.010786433,0.010816185,0.010860609,0.018864622,0.016673854,0.009131226,0.009167538,0.00921054,0.01070728,0.010750928,0.012456232,0.11168703,0.01082153,0.010827086,0.010831911,0.023330677,0.011067923,0.023498226,0.011150112,0.011205221,0.012300461,0.11045749
F,0.037688777,0.01613725,0.010656958,0.010669394,0.0107623115,0.010774301,0.0108044995,0.010849206,0.018971631,0.016653104,0.009128934,0.009164352,0.009206805,0.010698236,0.010741185,0.01246493,0.111780845,0.010806842,0.010811321,0.010816092,0.02320308,0.011053842,0.023365626,0.011133914,0.011188105,0.012311527,0.11055726
c,0.00920168,0.015673496,0.00897465,0.008966558,0.009158024,0.009182857,0.009174716,0.009171351,0.1038883,0.016348567,0.0062624635,0.006344119,0.0064035635,0.009179621,0.009180011,0.0027104826,0.06853408,0.009258892,0.009173959,0.0091317035,0.010646539,0.009333414,0.010825517,0.009377694,0.009342538,0.0027243777,0.06678113
c,0.009178411,0.015711399,0.008975149,0.008967311,0.009159428,0.009184169,0.009175926,0.009172654,0.10327115,0.016384488,0.0062556155,0.006337007,0.006396365,0.009180571,0.009180933,0.002721782,0.06848911,0.009262525,0.009177634,0.009134984,0.010732867,0.009336286,0.010913794,0.009382034,0.009346555,0.0027354674,0.06673936
n+,0.052600358,0.009456831,0.0064916066,0.00655726,0.006633289,0.006585261,0.0065750866,0.0065885866,0.02734942,0.0098998835,0.047716893,0.047444608,0.04746377,0.0066202586,0.0066237696,0.025512,0.09312423,0.006555506,0.0065584495,0.0065530515,0.04639989,0.0065639503,0.04613041,0.0065619503,0.006579505,0.024804018,0.09099611
O-,0.034529082,0.02800109,0.0159979,0.015919253,0.016330287,0.016649539,0.01667953,0.016607683,0.024882639,0.028441522,0.017894384,0.018032756,0.018001297,0.01627311,0.016396731,0.037093803,0.07194881,0.016200459,0.016275499,0.016420227,0.036575705,0.016880514,0.036513317,0.016416322,0.01641291,0.03703224,0.07174502
c,0.009054304,0.015458981,0.008968139,0.008961522,0.009158873,0.009184776,0.0091764005,0.009172831,0.10481652,0.016123721,0.0062647974,0.006345839,0.006406831,0.009178968,0.009178465,0.0026211992,0.06850739,0.009260673,0.009172361,0.00912997,0.010581654,0.009332682,0.010759458,0.0093789715,0.0093443375,0.002633138,0.066829674
c,0.008783489,0.0155147165,0.008974301,0.008966094,0.009163267,0.009189216,0.009180859,0.00917769,0.10279295,0.016184289,0.0063054,0.0063865385,0.006446979,0.009186895,0.009185939,0.002603914,0.068216555,0.009266217,0.009177037,0.009134433,0.011037382,0.009336924,0.011223461,0.009383589,0.009350149,0.0026158874,0.06655836
c,0.008736806,0.01556067,0.008974566,0.008965005,0.009160428,0.009186951,0.009179063,0.009176289,0.102152534,0.016233088,0.006311091,0.0063921614,0.0064521823,0.009187005,0.009186178,0.0026128534,0.06813899,0.009264739,0.009175996,0.009133357,0.011168427,0.00933517,0.011356597,0.009381898,0.009348774,0.0026252111,0.0664889
Cl,0.043533966,0.014464296,0.00580362,0.0057839965,0.005754591,0.0057711485,0.005791002,0.0058218786,0.11445484,0.015173217,0.01825437,0.01829137,0.018397352,0.0058521186,0.005818409,0.013136763,0.12965773,0.0058826213,0.005862099,0.005851208,0.03371253,0.005844352,0.03394351,0.005899984,0.0058970572,0.013040633,0.13149628
c,0.008903901,0.015713327,0.009004458,0.008996214,0.009191014,0.009216865,0.009208519,0.009205316,0.10408788,0.01638472,0.006225178,0.0063046445,0.0063645663,0.009214242,0.009214077,0.0026312221,0.06816356,0.009298697,0.009212343,0.009168706,0.011069583,0.009368122,0.011253188,0.009416781,0.009381223,0.0026444753,0.066461414
Cl,0.043474957,0.014441322,0.005784308,0.005764328,0.0057362886,0.0057524634,0.005771692,0.0058020484,0.11510936,0.015147425,0.018323021,0.018359663,0.018466638,0.0058312207,0.00579737,0.013045329,0.13068795,0.0058619343,0.0058417297,0.005830531,0.03339282,0.005824011,0.03362839,0.0058771307,0.005873906,0.01295394,0.13253711
c,0.008643413,0.015371984,0.009013771,0.009006859,0.0091973,0.009219006,0.009210214,0.009207772,0.10541603,0.016026229,0.0063054333,0.0063854093,0.0064459643,0.009218881,0.009217797,0.0026022922,0.0682818,0.009307111,0.00922005,0.009175952,0.011216355,0.009371925,0.011399866,0.009422708,0.009386206,0.0026164933,0.066610634
c,0.008831241,0.015379836,0.009004791,0.008998182,0.009188204,0.009209397,0.009200322,0.009197799,0.10566982,0.016033418,0.006264125,0.0063431235,0.0064030946,0.009210458,0.009209046,0.0026122953,0.06837556,0.009299002,0.00921225,0.009167893,0.011102055,0.009363087,0.011284654,0.009413302,0.009376165,0.0026264966,0.066720694
n+,0.054098736,0.009403236,0.0064610895,0.006525995,0.006600722,0.006551757,0.006540199,0.0065527647,0.027888637,0.009843176,0.04733513,0.04706424,0.047083978,0.006592799,0.0065935953,0.025294904,0.09375445,0.0065266145,0.0065279477,0.006521348,0.04624805,0.0065315356,0.045993596,0.0065290704,0.0065437076,0.024597688,0.09165597
O-,0.03508715,0.027901879,0.015953794,0.015871072,0.01627748,0.016598165,0.016627513,0.016555015,0.024870237,0.028345905,0.017934395,0.01806483,0.018032236,0.01624157,0.016361505,0.03745058,0.072383896,0.016162388,0.016235586,0.016379021,0.0364665,0.016834002,0.03641175,0.016373925,0.016365912,0.037398618,0.07220351
