smiles,fda_id
O(C)c1c(OC)c(CN2CCNCC2)ccc1OC,Z99601262
O=C1NC(=O)CC(CC)(C)C1,Z99599698
O=C(O)CCC(=O)c1ccc(-c2ccccc2)cc1,Z99599540
S(=O)(=O)(N)c1sc2c(n1)ccc(OCC)c2,Z995241886
Clc1ccc(OCC(O)CO)cc1,Z995094004
O=C(O)[C@@](N)CC(=O)O,Z995084132
O=C(O)[C@@](N)CCCN.Cl,Z991547388
O=C(O)CC(O)(C)C,Z982131798
O=[N+]([O-])c1c(C)c(C(=O)N)cc([N+](=O)[O-])c1,Z971222254
O=C(O)CN,Z955123660
S(=O)(=O)(O)O.OC(CNC(C)C)c1cc(O)cc(O)c1.OC(CNC(C)C)c1cc(O)cc(O)c1,Z955123630
ClCCc1c(C)ncs1,Z945806150
N(N)CCc1ccccc1.Cl.Cl,Z927192062
O=[N+]([O-])c1ccc(-c2oc(/C=N/N3C(=O)NC(=O)C3)cc2)cc1,Z91274084
N=C(NCC1Oc2c(OC1)cccc2)N.Br,Z911465460
O=C1C(N2C(=O)c3c(C2=O)cccc3)CCC(=O)N1,Z905162656
CN1CC2N(c3ncccc3Cc3c2cccc3)CC1,Z905065772
O=[N+]([O-])c1c(C2C(C(=O)OC)=C(C)NC(C)=C2C(=O)OC)cccc1,Z90350374
O=C(Oc1c2c(ccc1)cccc2)NC,Z90123586
O=C(O)Cc1ccc(NC(=O)C)cc1,Z90122510
O(CC(O)CNC(C)C)c1c2c(ccc1)cccc2.Cl,Z90121066
O=C(O)c1c(O)cc(N)cc1,Z90121065
Clc1c(C(F)(F)F)cc(NC(=O)Nc2ccc(Oc3cc(C(=O)NC)ncc3)cc2)cc1,Z89277543
C(CCCCCCCC)CCCCCCC[n+]1ccccc1.[Cl-],Z89264780
OC[C@@]1[C@@](O)[C@](O)[C@@](N)C(O)O1.Cl,Z871871932
Clc1ccc(N2C(C)(C)N=C(N)N=C2N)cc1.Cl,Z87001357
O=[N+]([O-])c1n(CCO)c(C)nc1,Z87001124
S(=O)(=O)(N)c1ccc(CN)cc1,Z85923151
O=C(NCCCC(=O)O)C(C)(C)C,Z85888809
S(=O)(=O)(N)c1cc(C(=O)NCC2N(CC)CCC2)c(OC)cc1,Z84655412
S(=O)(=O)(C)c1ccc(-c2nc3n(c2)C=CC=C3)cc1,Z82177056
O=C(O)[C@@](N)[C@](O)C,Z813019058
O=C(O)[C@@](N)CCCCN.Cl,Z812534818
Clc1c(C(=O)OCCN(CC)CC)ccc(N)c1,Z802864938
O=C1C(CN2CCOCC2)CCc2[nH]c(C)c(CC)c12,Z802671522
O=C1C(CC)(c2ccc(N)cc2)CCC(=O)N1,Z800191876
O=C(N1CCN(c2nc(N)c3c(n2)cc(OC)c(OC)c3)CC1)C1Oc2c(OC1)cccc2,Z784767764
O=C(CO)[C@]1(O)[C@]2(C)[C@]([C@]3[C@@]([C@]4(C)C(=CC(=O)C=C4)CC3)[C@@](O)C2)CC1,Z778141968
SC[C@](N)C(=O)O,Z760035162
O(C)c1c(OC)cc([C@@]2c3c([C@](O)[C@@]4[C@@]2C(=O)OC4)cc2OCOc2c3)cc1OC,Z759291658
FC=1C(=O)NC(=O)N([C@@]2O[C@](CO)[C@@](O)C2)C=1,Z756475348
O=C(N[C@](C(=O)O)CCC(=O)O)N,Z756468010
O=C(O)[C@@](NC(=O)C)CCC(=O)N,Z756456072
O=C(O)[C@@](NC(=O)C)Cc1ccc(O)cc1,Z756442196
Fc1nc(N)c2ncn([C@]3[C@@](O)[C@](O)[C@@](CO)O3)c2n1,Z756440078
O=C(O)[C@@](N)CCC(=O)N,Z756440074
O=C(O)[C@@](N)Cc1cc(O)c(O)cc1,Z756440064
O=C(O)[C@@](N)Cc1c2c([nH]c1)cccc2,Z756440056
O=C(O)[C@@](N)CCC(=O)O,Z756440052
S(CC[C@](N)C(=O)O)C,Z756440050
O=C(O)[C@@](N)Cc1ccc(O)cc1,Z756440046
O=C(O)[C@@](NC(=O)C)CC(C)C,Z756438860
O=C(O)[C@@](N)Cc1ccccc1,Z756430566
O=C(O)[C@@](N)C(C)C,Z756430564
O=C(O)[C@]1NCCC1,Z756429958
Clc1c(OC)cc(OC)c2C(=O)[C@]3(C(OC)=CC(=O)C[C@]3C)Oc12,Z756424454
O=C(N[C@@]1C(=O)N2[C@@](C(=O)[O-])C(C)(C)S[C@]12)Cc1ccccc1.[K+],Z756424446
F[C@@]12[C@]3(C)C(=CC(=O)C=C3)CC[C@]1[C@]1[C@@](C)([C@@](O)(C(=O)CO)[C@](C)C1)C[C@@]2O,Z756391748
O=C(O)C(CCC)CCC,Z756391526
O=C(CO)[C@]1(O)[C@]2(C)[C@]([C@]3[C@@]([C@]4(C)C(=CC(=O)C=C4)CC3)C(=O)C2)CC1,Z756390288
O=C1N([C@@]2O[C@](CO)[C@@](N=[N+]=[N-])C2)C=C(C)C(=O)N1,Z754931264
O=C(c1c(-c2ccc(O)cc2)sc2c1ccc(O)c2)c1ccc(OCCN2CCCCC2)cc1.Cl,Z754931262
O=C(O[C@@]1[C@@]2[C@@](CC[C@]3OC(=O)C[C@](O)C3)[C@@](C)C=CC2=C[C@](C)C1)[C@](CC)C,Z754931258
ClCCN(C(COc1ccccc1)C)Cc1ccccc1.Cl,Z754931256
O=C(O[C@]1[C@](C)[C@](O)[C@](C)[C@@](O)[C@@](C)C=C/C=C(/C)\C(=O)NC=2C(=O)c3c(O)c(C)c4O[C@@](C)(C(=O)c4c3C3=NC4(NC=23)CCN(CC(C)C)CC4)O/C=C\[C@](OC)[C@]1C)C,Z754926486
O(C)c1c2occc2cc2c1OC(=O)C=C2,Z754918916
O=C(O[C@@]1[C@@]2[C@@](CC[C@]3OC(=O)C[C@](O)C3)[C@@](C)C=CC2=C[C@](C)C1)C(CC)(C)C,Z754918914
O=C(O)C(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1.Cl,Z754918912
Oc1c(C(C)C)cccc1C(C)C,Z752915492
O=C(OCCOCCCC)c1cnccc1,Z743362616
O=C(CC(c1ccccc1)C=1C(=O)Oc2c(C=1O)cccc2)C,Z732250592
Clc1c(Nc2c(C(=O)[O-])cccc2)c(Cl)ccc1C.[Na+],Z732242712
P(=O)(O)(O)O.O(C)c1cc(NC(CCCN)C)c2ncccc2c1,Z732242096
S(=O)(=O)(N)C=1S/C(=N/C(=O)C)/N(C)N=1,Z728800602
O=C(N)c1c(O)cccc1,Z68590124
O=C(Nc1c(C)cccc1C)CN1CCN(CC(O)COc2c(OC)cccc2)CC1,Z68563450
O=C(NCc1ccc(OCCN(C)C)cc1)c1cc(OC)c(OC)cc1,Z667612124
O=C(NCc1ccc(OCCN(C)C)cc1)c1cc(OC)c(OC)c(OC)c1,Z667611948
Clc1c(C(O)CNC(C)C)cccc1,Z666296432
O=C1N(C)C(=O)CC1(C)c1ccccc1,Z649373426
O=C(N(CC)CC)N1CCN(C)CC1,Z641623606
O=C1[C@]2(O)O[C@@]3[C@@](NC)[C@@](O)[C@@](NC)[C@](O)[C@]3O[C@@]2O[C@](C)C1.Cl.Cl.O.O.O.O.O,Z608353996
O=C(CCc1ccccc1)c1c(OCC(O)CNCCC)cccc1.Cl,Z608353988
O=C(OCC)CCC(=O)O[C@]1[C@](O[C@]2[C@@](O)(C)C[C@@](C)C(=O)[C@](C)[C@@](O)[C@@](O)(C)[C@@](CC)OC(=O)[C@](C)[C@@](O[C@@]3O[C@@](C)[C@](O)[C@@](OC)(C)C3)[C@@]2C)O[C@](C)C[C@@]1N(C)C,Z608353986
Brc1c(NC2=NCCN2)ccc2nccnc12,Z608061562
O(CC(O)CNC(C)(C)C)c1c2c(ccc1)C[C@@](O)[C@@](O)C2,Z608060832
