tcm_id,smiles
34191.mol2Brassilexin,c1ccc2c(c1)[nH]c1sncc12
28298.mol231111,CC(C)C(=O)/C=C/c1ccccc1
42857.mol2Muscarine_I,C[C@H]1O[C@@H](C[N+](C)(C)C)C[C@@H]1O
42858.mol2Muscarine_II,C[C@@H]1O[C@H](C[N+](C)(C)C)C[C@H]1O
34494.mol2Calystegine_B2,O[C@@H]1[C@H](O)[C@H]2CC[C@](O)(N2)[C@H]1O
42535.mol2Methyl_indole-3-carboxylate,COC(=O)c1c[nH]c2ccccc12
40172.mol23-Indolylacetic_acid,O=C(O)Cc1c[nH]c2ccccc12
37506.mol2  -1-C-Ethyl-fagomine,CC[C@@H]1C[C@@H](O)[C@H](O)[C@@H](CO)N1
45253.mol2Raphanin,C[S@@](=O)/C=C/CCN=C=S
26843.mol229119,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O
31059.mol235329,N[C@H](CNC(=O)C(=O)O)C(=O)O
33123.mol2L-  -Amino-  -oxalylaminopropionic_acid,N[C@@H](CNC(=O)C(=O)O)C(=O)O
35733.mol2(S)-Dencichine,N[C@@H](CNC(=O)C(=O)O)C(=O)O
39710.mol26-Hydroxy-7-methylcoumarin,Cc1cc2oc(=O)ccc2cc1O
31803.mol236413,COc1ccc2ccc(=O)oc2c1
39035.mol2  -Hydrojuglone,O=C1CCC(=O)c2c(O)cccc21
28711.mol231845,Oc1cc(O)c2c(O)cccc2c1
39034.mol2  -Hydrojuglone,Oc1ccc(O)c2c(O)cccc12
37437.mol2Erythrocentaurin,O=Cc1cccc2c1CCOC2=O
39433.mol2erythro-2-Hydroxy-2-(1-hydroxyethyl)-4-methylpentanoic_acid,CC(C)C[C@](O)(C(=O)O)[C@H](C)O
25685.mol227705,CC(=O)OC/C=C/c1ccccc1
28297.mol231110,C=CCc1ccc(OC(C)=O)cc1
28313.mol231136,CCOC(=O)/C=C/c1ccccc1
"42476.mol22-(1'-Methylethenyl)-6-hydroxy-2,3-dihydrobenzo[b]furan",C=C(C)[C@H]1Cc2ccc(O)cc2O1
34335.mol22-(Butyn-2-ylidene)-  3-dihydrofuran[5-spiro-2']tetrahydrofuran,CC#C/C=C1/C=C[C@@]2(CCCO2)O1
46135.mol2Serotonin,NCCc1c[nH]c2ccc(O)cc12
32412.mol2Acanthifoline,Cc1cncc2c1CC(=O)N[C@H]2C
33572.mol2Argutine_B,C[C@@H]1CCc2c(C(N)=O)cncc21
30521.mol234402,C/C1=C\[C@H]2C[C@H]2CC/C(C)=C/CC1
26524.mol228729,[H]/N=C(/N)[NH2+]OCC[C@@H](N)C(=O)O
42376.mol2N-Methyl-1-deoxynojirimycin,CN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO
37033.mol2Entadamide_C,C[S@](=O)/C=C/C(=O)NCCO
29942.mol233612,C=CC[S@@](=O)C[C@H](N)C(=O)O
46589.mol2Sulforathane,C[S@](=O)CCCCN=C=S
34817.mol2N-4'-Chlorobutylbutyramide,CCCC(=O)NCCCCCl
26045.mol228170,O=c1ccc2cc(O)c(O)cc2o1
"36252.mol25,7-Dihydroxycoumarin",O=c1ccc2c(O)cc(O)cc2o1
29310.mol232622,O=c1cc2oc(O)ccc-2cc1O
31816.mol236433,O=c1ccoc2cc(O)cc(O)c12
28380.mol231253,COc1ccccc1/C=C/C(=O)O
39831.mol2p-Hydroxyphenyl_crotonic_acid,C/C=C(\C(=O)O)c1ccc(O)cc1
28894.mol232095,COc1cccc(/C=C/C(=O)O)c1
26291.mol228459,COc1ccc(/C=C/C(=O)O)cc1
42361.mol2trans-Methyl_p-coumarate,COC(=O)/C=C\c1ccc(O)cc1
28194.mol230966,COc1cc(/C=C/C=O)ccc1O
35050.mol2Coniferyl_aldehyde,COc1cc(/C=C/C=O)ccc1O
39685.mol23-(4-Hydroxy-3-methoxyphenyl)-2-propenal,COc1cc(/C=C/C=O)ccc1O
25915.mol228004,CC(=O)/C=C/c1ccc(O)c(O)c1
"36501.mol2(E)-4-(3,4-Dihydroxyphenyl)but-3-en-2-one",CC(=O)/C=C/c1ccc(O)c(O)c1
45289.mol2(-)-Regiolone,O=C1CC[C@H](O)c2cccc(O)c21
"36566.mol2(4R)-4,8-Dihydroxy-  -tetralone",O=C1CC[C@@H](O)c2cccc(O)c21
39724.mol25-Hydroxymethylisochroman-1-one,O=C1OCCc2c(CO)cccc21
28253.mol231044,O=Cc1cc(O)c(O)c2c1CCC2
28247.mol231033,OC[C@@H](O)CCCC[C@H](O)CO
"42313.mol24-(3-Methyl-2-butenyl)-4-cyclohexene-1,3-dione",CC(C)=CCC1=CCC(=O)CC1=O
25832.mol227870,C=CCc1ccc(OC)c(OC)c1
30696.mol234666,COc1ccc(CCC(C)=O)cc1
27800.mol230445,C/C=C/c1ccc(OC)c(OC)c1
32815.mol2Actinidiolide,CC1(C)CC=C[C@@]2(C)OC(=O)C=C12
29603.mol233124,c1ccc2cc3ccccc3cc2c1
32134.mol236860,c1ccc2c(c1)ccc1ccccc12
"38905.mol2(+)-3,4,4  R,7,8,8  R-Hexahydro-5,8  -dimethylnaphthalen-2(1H)-one",CC1=CCC[C@@]2(C)CC(=O)CC[C@H]12
9710.mol2 10842,C=C1[C@H]2CC[C@H](C2)[C@]1(C)CCC=O
29946.mol233616,C=CCSS(=O)(=O)CC=C
31369.mol235749,CC1=CCC[C@]2(C)CC[C@@H](C)C[C@@H]12
8906.mol2 10028,C[C@H]1CC=C[C@](C)(C2CCCC2)C1
29943.mol233613,C=CCSSSCC=C
33042.mol2Allitridin,C=CCSSSCC=C
38429.mol2Glucosamine,N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]1O
28638.mol231743,N[C@@H](C=O)[C@@H](O)[C@H](O)[C@H](O)CO
42610.mol2N-Methylphenylalanin,CN[C@@H](Cc1ccccc1)C(=O)O
45719.mol2(-)-Salsolinol,C[C@@H]1NCCc2cc(O)c(O)cc21
"36174.mol2(3  ,4  ,5  )-4,5-Dihydro-3-(1-pyrryl)-4,5-dimethyl-2(3H)-furanone",C[C@H]1[C@H](n2cccc2)C(=O)O[C@@H]1C
35426.mol2Daechu_alkaloid_A,O=C1CCC2=C1N1CCC[C@H]1OC2
26001.mol228114,C[C@H]([C@H](O)c1ccccc1)N(C)C
27703.mol230302,C[C@@H]([C@@H](O)c1ccccc1)N(C)C
25997.mol228110,C[C@@H]([C@H](O)c1ccccc1)N(C)C
26271.mol228437,Nc1[nH]c(=O)c2ncc(=O)[nH]c2[nH+]1
26443.mol228628,OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O
26445.mol228630,OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O
26393.mol228572,O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@H](O)[C@H]1O
40215.mol2Inositol_b,O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@H](O)[C@H]1O
40216.mol2Inositol_c,O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O
30193.mol233926,OC[C@H]1O[C@@](O)(CO)[C@@H](O)[C@@H]1O
30194.mol233927,OC[C@H]1O[C@](O)(CO)[C@@H](O)[C@@H]1O
26854.mol229136,O=C[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
25809.mol227843,O=C(O)/C=C/c1ccc(O)c(O)c1
"36740.mol21,3-Dimethylisoguaninium",Cn1c(=[NH2+])c2[nH]cnc2n(C)c1=O
27187.mol229599,COc1cc(/C=C/CO)ccc1O
35049.mol2trans-Coniferyl_alcohol,COc1cc(/C=C/CO)ccc1O
42564.mol2Methyl_4-methoxyphenylacetate,COC(=O)Cc1ccc(OC)cc1
31269.mol235601,C=Cc1cc(OC)c(O)c(OC)c1
39801.mol22-(1'-Hydroxy-2'-oxopropyl)-5-methylphenol,CC(=O)[C@@H](O)c1ccc(C)cc1O
28175.mol230946,CC(=O)[C@@H](O)c1ccc(C)cc1O
31260.mol235590,COc1cc(CCC=O)ccc1O
31002.mol235213,COc1cc(OC)cc(C(C)=O)c1
42112.mol2p-Methoxydihydrocinnamic_acid,COc1ccc(CCC(=O)O)cc1
"37519.mol25-Ethyl-1-methoxy-2,3-methylenedioxybenzene",CCc1cc(OC)c2c(c1)OCO2
