compound_id,smiles,all_preds,all_probs
Z2315585265,Clc1ccc([C@](CCN(C)C)c2ncccc2)cc1.O=C(O)/C=C/C(=O)O,1,0.9977574
Z1551967075,Ic1c(Oc2cc(I)c(O)c(I)c2)c(I)cc(C[C@](N)C(=O)[O-])c1.[Na+],1,0.9977234
Z2568665949,O=C(O)Cc1cc2/C(=C\CCN(C)C)/c3c(cccc3)COc2cc1.Cl,1,0.9972005
Z1557407006,N(CC/C=C/1\c2c(OCc3c\1cccc3)cccc2)(C)C.Cl,1,0.99677074
Z2756516923,O=C(O[C@@]1[C@@](OC)C(C)(C)O[C@@](Oc2c(C)c3OC(=O)C(NC(=O)c4cc(C/C=C(\C)/C)c([O-])cc4)=C(O)c3cc2)[C@@]1O)N.[Na+],1,0.99596405
Z2240938942,O=C(OCC)[C@@](N[C@](C(=O)N1[C@](C(=O)O)Cc2c(cccc2)C1)C)CCc1ccccc1.Cl,1,0.995839
Z2791720087,O=C(N)C=1C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@](C)[C@]3[C@](O)[C@]2[C@](N(C)C)C=1O.O=C(N)C=1C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@](C)[C@]3[C@](O)[C@]2[C@](N(C)C)C=1O.OCC.Cl.Cl.O,1,0.99510574
Z57152562,O=[N+]([O-])c1oc(/C=N/N2C(=O)OCC2)cc1,1,0.99506396
Z1554104509,Ic1c(OCCN(CC)CC)c(I)cc(C(=O)c2c(CCCC)oc3c2cccc3)c1.Cl,1,0.9946918
Z3219503092,Clc1c([C@@]2(Cn3cncc3)O[C@](COc3ccc(N4CCN(C(=O)C)CC4)cc3)CO2)ccc(Cl)c1,1,0.9945274
Z57152561,O=[N+]([O-])c1oc(/C=N/N2C(=O)NC(=O)C2)cc1,1,0.99424404
Z2065671241,ClC(Cl)C(=O)N[C@@]([C@](O)c1ccc([N+](=O)[O-])cc1)CO,1,0.99380857
Z1650127771,FC(F)(F)Oc1ccc(CO[C@@]2COc3n(cc([N+](=O)[O-])n3)C2)cc1,1,0.99373996
Z2312380776,Clc1cc2c(Oc3c(cccc3)[C@@]3[C@@]2CN(C)C3)cc1.O=C(O)/C=C/C(=O)O,1,0.9936107
Z1515376764,O=C(O[C@]1[C@](C)[C@](O)[C@](C)[C@@](O)[C@@](C)C=C/C=C(/C)\C(=O)Nc2c(/C=N/N3CCN(C)CC3)c(O)c3c(c(O)c(C)c4O[C@@](C)(C(=O)c34)O/C=C\[C@](OC)[C@]1C)c2O)C,1,0.99336654
Z2235802070,Clc1c(OC)ccc(CNc2c(C(=O)NCc3ncccn3)cnc(N3[C@](CO)CCC3)n2)c1,1,0.9930126
Z3223135042,Clc1c2Oc3c(O[C@]4[C@](O[C@@]5O[C@@](C)[C@@](O)[C@](N)(C)C5)[C@@](O)[C@](O)C(CO)O4)c4Oc5c(Cl)cc([C@@](O)[C@]6C(=O)N[C@](C(=O)O)c7c(c(O)cc(O)c7)-c7c(O)ccc(c7)[C@](C(=O)N6)NC(=O)[C@](NC(=O)[C@](CC(=O)N)NC(=O)[C@](NC(=O)[C@](NC)CC(C)C)[C@](O)c(c1)cc2)c(c3)c4)cc5.Cl,1,0.9930073
Z1521553720,Fc1c([C@](O)([C@@](C)c2c(F)cncn2)Cn2ncnc2)ccc(F)c1,1,0.9928925
Z1557399790,O=C(CO)[C@@]1(O)C[C@](O[C@@]2O[C@@](C)[C@@](O)[C@@](N)C2)c2c(O)c3C(=O)c4c(OC)cccc4C(=O)c3c(O)c2C1.Cl,1,0.9924264
Z2235802230,Clc1ccc([C@](OC2CCN(CCCC(=O)O)CC2)c2ncccc2)cc1.S(=O)(=O)(O)c1ccccc1,1,0.99235004
Z1541759896,Clc1c([C@@](C(=O)OC)N2Cc3c(scc3)CC2)cccc1.S(=O)(=O)(O)O,1,0.99232364
Z1575278780,N(CC/C=C/1\c2c(cccc2)C=Cc2c\1cccc2)(C)C.Cl,1,0.9921393
Z227834786,N(CC/C=C/1\c2c(cccc2)CCc2c\1cccc2)C.Cl,1,0.99190384
Z1511483977,S(=O)(=O)(O)N1C(=O)[C@@](NC(=O)/C(=N/OC(C(=O)O)(C)C)/c2nc(N)sc2)[C@@]1C,1,0.9912804
