compound_id,smiles,all_preds,all_probs
46757.mol2Taspine,COc1ccc2c(=O)oc3c(OC)cc(CCN(C)C)c4c(=O)oc1c2c34,1,0.9917868
47955.mol2Vincorine,C/C=C1\CN2CC[C@@]34c5cc(OC)ccc5N(C)[C@@]23CC[C@H]1[C@H]4C(=O)OC,1,0.9899839
28.mol2   32,C[C@@H]([C@H](O)c1ccccc1)N(C)CCc1cccc(O)c1,1,0.9881692
29.mol2   34,C[C@@H]([C@H](O)c1ccccc1)N(C)CCc1ccccc1,1,0.9879461
42227.mol2N5-(4-Methoxyphenyl)methyl-L-glutamine,COc1ccc(CNC(=O)CC[C@H]([NH3+])C(=O)[O-])cc1,1,0.98783547
47954.mol2Vincoridine,C/C=C1\CN2CC[C@@]34c5ccccc5N(C)[C@@]23C(=O)C[C@H]1[C@H]4C(=O)OC,1,0.9877962
22.mol2   24,COCc1ccc(O)cc1CCN(C)[C@@H](C)[C@H](O)c1ccccc1,1,0.98775315
48027.mol2Voacangine,CC[C@H]1C[C@@H]2CN3CCc4c([nH]c5ccc(OC)cc45)[C@](C(=O)OC)(C2)[C@@H]13,1,0.9874758
20.mol2   22,COCc1ccc(O)cc1CCN(C)[C@@H](C)[C@H](O)c1cccc(O)c1,1,0.98691446
34418.mol2L-O-Caffeoylhomoserine,N[C@@H](CCOC(=O)/C=C/c1ccc(O)c(O)c1)C(=O)O,1,0.98687845
30932.mol235082,CCc1cccc(C)c1N(C(=O)CCl)[C@H](C)COC,1,0.9867508
17698.mol219413,CNCC[C@]1(C)Oc2cc3oc(C)cc(=O)c3cc2C[C@H]1OOC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,1,0.98619926
17507.mol219167,COCCc1cc(CC[C@]2(C)Oc3cc4oc(C5(O)CCCC5)cc(=O)c4c(O)c3C[C@H]2O)ccc1N,1,0.9861081
"36565.mol2N-(1',4'-Dihydroxy-1',2',3',4'-tetrahydronaphthyl)-propyl-N-di-phen...",CC(C)(C)CCN(CCC[C@@]1(O)CC[C@H](O)c2ccccc21)C(c1ccccc1)c1ccccc1,1,0.9858365
19215.mol220981,CCNC[C@@H]1C[C@H](O)[C@@H](Cc2cc(OC)c(O)c(OC)c2)[C@H](O)[C@H]1[C@H](CCc1ccc(O)c(OC)c1)OCO,1,0.98553365
19216.mol220982,CNC[C@H]1C[C@@H](O)[C@@H](Cc2cc(OC)c(O)c(OC)c2)[C@H](O)[C@H]1[C@H](CCc1ccc(O)c(OC)c1)OCO,1,0.9850175
26.mol2   30,C[C@@H]([C@H](O)c1cccc(O)c1)N(C)CCc1cccc(O)c1,1,0.98480725
12920.mol214214,CNCc1cccc(Cc2cc(-c3oc4cc(O)cc(O)c4c(=O)c3O)cc(CC(C)C)c2O)c1,1,0.9844567
23492.mol225497,CCCCC[C@@H](O)CC(=O)CCc1ccc(O)c(OC[N+]2=CC3=C(Cc4cccc(C(N)N)c4)C=[NH+]C3=C2)c1,1,0.9837299
39512.mol214-  -Hydroxy-3-isorauniticine,COC(=O)C1=CO[C@H](C)[C@@H]2CN3CCc4c([nH]c5ccccc45)[C@H]3[C@](C)(O)[C@H]12,1,0.98294973
12900.mol214194,CNCc1cccc(Cc2cc(-c3oc4cc(O)cc(OCCO)c4c(=O)c3O)cc(CC(C)C)c2O)c1,1,0.9827449
12902.mol214196,CNCc1cccc(Cc2cc(-c3oc4cc(O)cc(OCCCO)c4c(=O)c3O)cc(CC(C)C)c2O)c1,1,0.98274094
24.mol2   27,COCc1ccccc1CCN(C)[C@@H](C)[C@H](O)c1ccccc1,1,0.9822124
11116.mol212358,CCOC(=O)[C@@H]1C=Cc2c(c(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(OC)c3occ([C@@H]4CNC(=O)C4)c23)C1,1,0.98148924
21001.mol222787,CCCCc1ccc(CCc2ccc(O)c(OC[C@H](O)C3=C[C@@H]([C@H](CNC[C@H](C)O)C4CCCC4)C=[NH+]3)c2)o1,1,0.9811249
653.mol2  680,C[C@@H]1[NH2+][C@H](CCCCCCCCC[C@](O)(CNC2(C)CCNCC2)CC(=O)[O-])[C@@H](n2ccnc2)C[C@H]1O,1,0.97998697
45262.mol2Rauvomitine,C/C=C1/CN2[C@H]3C[C@@]45c6ccccc6N(C)[C@H]4[C@@H]2C[C@@H]1[C@@H]3[C@H]5OC(=O)c1cc(OC)c(OC)c(OC)c1,1,0.97965026
44430.mol2Pinnatanine,C=C/C(=C/NC(=O)[C@@H](O)C[C@H](N)C(=O)O)CO,1,0.9791967
28962.mol232189,CN1[C@@H](C[C@@H](O)c2ccccc2)CCC[C@H]1C[C@H](O)c1ccccc1,1,0.97888935
8745.mol2 9860,CC1(C)O[C@@]2([C@@H]3CC[C@H](Cc4ccccc4)[C@H](Cc4ccc(N)[nH+]c4)C3)CC[C@@H]1[C@](N)(CCO)C2,1,0.9784576
