,C,C,C,C@H,O,C,C@@H,O,C,C,O,C,C,c,c,c,c,O,c,O,C,N+,C,C,C,C,c,c,c,c,c,C,N,N,c,C,<UNK>,C,C,c
C,0.0015265263,0.0015369506,0.0015415723,0.097958036,0.003813693,0.00152143,0.23069465,0.0037334994,0.0015105419,0.0015261642,0.00382445,0.0015763959,0.0015745212,0.00087261474,0.000878001,0.00088689127,0.00089390355,0.003842881,0.0008777988,0.0038941142,0.0016557183,0.019594342,0.0016185975,0.001591663,0.0015667041,0.001586631,0.0009282668,0.00093598076,0.00092694943,0.0009121294,0.0008979299,0.0015654599,0.07792134,0.07755375,0.00088091387,0.0015875865,0.01807234,0.0015619547,0.0014960542,0.00088497327
C,0.001526255,0.0015366577,0.001541238,0.09835377,0.0038076206,0.0015210061,0.23124722,0.0037277574,0.0015098179,0.0015256064,0.0038181366,0.0015760772,0.0015742792,0.0008766424,0.0008820433,0.0008909922,0.00089805934,0.003837179,0.00088169106,0.0038882825,0.0016557229,0.01968486,0.0016184229,0.0015913657,0.0015664146,0.0015864067,0.0009325949,0.0009404389,0.000931368,0.000916439,0.00090210396,0.0015647579,0.07783808,0.077468656,0.00088485156,0.0015871885,0.018046647,0.0015612842,0.0014952009,0.0008890675
C,0.0015148827,0.0015251767,0.001529657,0.09854031,0.0037863087,0.0015095584,0.23225132,0.0037072494,0.001498129,0.0015139063,0.003795832,0.0015640894,0.0015622805,0.0008800875,0.00088541367,0.0008943781,0.00090147374,0.0038156097,0.00088467426,0.0038658986,0.0016434008,0.019814542,0.0016063767,0.0015794154,0.0015548269,0.001574706,0.00093609927,0.0009440527,0.0009350264,0.0009201013,0.0009057125,0.0015530573,0.077691175,0.0773152,0.0008880358,0.0015752377,0.01790162,0.0015497393,0.0014835162,0.00089242845
C@H,0.00093458756,0.00094436127,0.00094840955,0.068371825,0.014351314,0.00093328085,0.17204383,0.014365299,0.00092810486,0.0009322261,0.014033485,0.000983901,0.0009799168,0.0019459855,0.0019664178,0.0019698131,0.0019644792,0.01439197,0.0019160291,0.014406058,0.0010204803,0.035577618,0.0010162486,0.0010020738,0.0009905568,0.0010042149,0.0020300688,0.0020184454,0.0019924277,0.0019614708,0.0019354601,0.0009946998,0.0874757,0.08626389,0.0018954786,0.0009774767,0.011911554,0.0010028343,0.0009534779,0.0019496434
O,0.0058529605,0.005829113,0.0058268574,0.115643956,0.003473831,0.005745302,0.16895154,0.0034869558,0.005905936,0.0058683334,0.0034586636,0.0058027627,0.005836291,0.0031748833,0.0031409538,0.0031199404,0.0031128495,0.0034250347,0.0031744724,0.00343608,0.005744145,0.0631409,0.005752172,0.005716077,0.005588551,0.0055939667,0.0031466319,0.003184638,0.0032002705,0.0032010712,0.0031889982,0.0057634218,0.01810273,0.018122016,0.0031890678,0.0058767577,0.02766938,0.005704793,0.005700075,0.0031696944
C,0.0015053654,0.001515392,0.001519786,0.09810116,0.0037767496,0.0015007539,0.23112796,0.003696982,0.0014898556,0.001505199,0.0037854519,0.0015542685,0.0015524308,0.0008759928,0.00088095234,0.00088951946,0.0008963334,0.003804659,0.0008804644,0.0038553888,0.001632236,0.019673312,0.0015960151,0.001569703,0.001545395,0.0015646084,0.00093082746,0.0009383659,0.00092948286,0.0009148288,0.000900692,0.0015434371,0.07793078,0.07752539,0.00088368286,0.0015648917,0.017658968,0.0015405562,0.0014753621,0.00088741136
C@@H,0.0034553388,0.0034499215,0.0034528025,0.05015819,0.0106954705,0.0034563371,0.18788397,0.010816145,0.0035289747,0.0035117595,0.010717248,0.0035795935,0.003587036,0.0029731332,0.002954435,0.002936418,0.0029273718,0.010853557,0.0029720583,0.01081556,0.0036045949,0.02072413,0.003625205,0.0036121637,0.0035596,0.003587752,0.002995712,0.0030102292,0.0030151177,0.003011157,0.0030022976,0.003584476,0.079184674,0.07853207,0.002982501,0.00362312,0.007801034,0.0036300223,0.0036037809,0.002991391
O,0.005834237,0.0058110314,0.0058099623,0.11433247,0.0034766465,0.005728554,0.16984527,0.0034907083,0.00589092,0.0058526695,0.0034625586,0.0057892073,0.005822329,0.0031546892,0.003121328,0.0031007174,0.0030937635,0.0034282336,0.0031539567,0.0034387289,0.0057266345,0.06263303,0.005735097,0.0056991423,0.0055712042,0.00557722,0.003126228,0.0031643673,0.0031797974,0.0031803888,0.003168257,0.0057466887,0.018494746,0.018515378,0.003167939,0.005859479,0.027806196,0.0056869425,0.005683767,0.0031500151
C,0.0014385547,0.0014482856,0.0014525342,0.09603408,0.0037843827,0.0014341475,0.23405892,0.0037038194,0.0014234673,0.0014377252,0.0037911155,0.0014857122,0.0014831751,0.0008678794,0.00087288936,0.00088165735,0.0008886149,0.0038117734,0.00087130134,0.0038608615,0.001559625,0.02015452,0.0015259705,0.0015007327,0.0014780683,0.0014969334,0.0009225697,0.00093031296,0.0009215135,0.0009069863,0.00089297816,0.0014777875,0.077726915,0.07733019,0.00087492174,0.001496396,0.017286899,0.0014756753,0.0014110218,0.00087946036
C,0.0014561897,0.0014660225,0.001470325,0.0964996,0.0037884272,0.001451735,0.23298588,0.0037072455,0.0014411075,0.0014555949,0.003796066,0.001503945,0.0015015993,0.0008657771,0.0008708725,0.0008796342,0.0008865774,0.003816138,0.0008696951,0.0038660544,0.0015788329,0.020067759,0.0015446207,0.0015190688,0.001495773,0.0015147978,0.000920511,0.00092818757,0.0009193299,0.00090474956,0.00089072646,0.0014951951,0.07783933,0.077449456,0.0008731298,0.0015146045,0.017573657,0.0014928707,0.0014280097,0.0008773865
O,0.0058776964,0.005854461,0.00585345,0.11535587,0.0034227897,0.0057697385,0.1686314,0.0034369875,0.00593625,0.005896541,0.0034085969,0.005829272,0.00586327,0.003097327,0.0030647444,0.003044782,0.003038196,0.0033744152,0.0030965998,0.00338488,0.0057649757,0.0636832,0.0057725585,0.0057370365,0.005610524,0.0056172824,0.003070394,0.0031080113,0.0031230086,0.0031232773,0.0031110838,0.0057883966,0.018673278,0.018696588,0.0031109445,0.00590199,0.028009897,0.0057253717,0.0057246303,0.003093503
C,0.001486711,0.0014966556,0.001500967,0.09727936,0.003772813,0.0014816053,0.23250334,0.003692177,0.0014712546,0.0014864472,0.0037797976,0.0015354744,0.0015338181,0.0008546988,0.0008595771,0.00086789724,0.00087451126,0.003801096,0.00085903646,0.0038515397,0.0016141206,0.019641584,0.001578079,0.0015517239,0.0015268339,0.001546046,0.00090843305,0.00091572205,0.00090704445,0.0008927739,0.0008790236,0.0015256404,0.07793174,0.07755951,0.00086203555,0.0015471552,0.017633073,0.0015226046,0.0014573139,0.00086599623
C,0.0014753848,0.001485072,0.0014892382,0.09690852,0.003778584,0.0014702977,0.23226357,0.0036967373,0.001460188,0.0014751417,0.003784282,0.0015236128,0.0015219398,0.0008560775,0.00086078973,0.0008689705,0.0008754957,0.0038061542,0.00086014555,0.003856512,0.0016016484,0.01960123,0.0015661817,0.0015401032,0.0015151424,0.0015340318,0.00090945815,0.0009166269,0.00090797327,0.0008937594,0.000880061,0.0015140292,0.07799594,0.077623315,0.0008631078,0.0015353786,0.017338086,0.0015114611,0.0014464284,0.00086700823
c,0.0072009456,0.0072645787,0.0073363646,0.13584547,0.0034299772,0.007176134,0.15385385,0.0034779683,0.0073597278,0.0073319804,0.0034778586,0.007256797,0.0073071257,0.0017785511,0.0017713733,0.0017706194,0.0017732098,0.0034386383,0.0017852845,0.0034655677,0.0071325526,0.028414568,0.007117817,0.0070886775,0.007100477,0.007173125,0.0018037896,0.0018111409,0.0018151199,0.0018146128,0.0018096844,0.007112275,0.030452672,0.030698882,0.0018052852,0.0071815606,0.07471906,0.0069400556,0.0070191906,0.0017866432
c,0.0072582155,0.0073219254,0.0073940028,0.13621864,0.003421244,0.007232421,0.15233822,0.0034680841,0.0074183764,0.0073899394,0.003467856,0.0073125977,0.007363385,0.0017992961,0.0017919933,0.0017912731,0.0017939251,0.0034278804,0.0018056264,0.003454676,0.007188241,0.028477008,0.007172022,0.007142479,0.007154096,0.007226621,0.0018249016,0.0018322753,0.0018361901,0.0018355745,0.0018305613,0.0071676997,0.030233212,0.030471437,0.001826095,0.0072376025,0.0742311,0.0069932477,0.0070740483,0.0018076911
c,0.007255888,0.0073194266,0.007391267,0.13699219,0.00341595,0.007230185,0.1518055,0.0034620066,0.0074151363,0.007387053,0.0034622934,0.007311622,0.007362346,0.0018013915,0.0017941628,0.0017934572,0.0017960597,0.003422122,0.0018074485,0.0034494193,0.0071881195,0.028614227,0.0071712933,0.007141339,0.0071523394,0.0072247777,0.001827249,0.0018345743,0.0018383679,0.0018376387,0.0018325754,0.0071672737,0.030268205,0.030504733,0.001828002,0.0072355582,0.07363478,0.006992613,0.007072378,0.001809819
c,0.0072269626,0.007290347,0.0073618204,0.13776268,0.0034150241,0.0072020795,0.15154243,0.003460669,0.00738481,0.007357454,0.003461677,0.007284914,0.0073353564,0.0017963591,0.00178927,0.0017885704,0.001791089,0.0034213634,0.001802233,0.0034493757,0.007162593,0.028693436,0.0071454425,0.007115091,0.0071256747,0.007198142,0.0018223949,0.0018296416,0.0018333187,0.0018325046,0.0018274226,0.0071411603,0.030502496,0.030742105,0.0018227325,0.007207487,0.07320455,0.0069671227,0.007045092,0.0018046537
O,0.0058539407,0.0058310293,0.0058295964,0.11699829,0.0033947814,0.0057470775,0.170986,0.0034089563,0.0059091286,0.0058710384,0.003381918,0.0058053285,0.0058390605,0.0031427275,0.003109631,0.003088936,0.003081726,0.0033466911,0.003141453,0.0033581264,0.0057442454,0.062443215,0.005752078,0.0057159346,0.0055886,0.0055954,0.003115064,0.003152931,0.0031679207,0.003168079,0.0031557817,0.005765161,0.019162761,0.019195212,0.003155931,0.0058779493,0.02762836,0.0057017216,0.0057012304,0.0031370763
c,0.0071872524,0.0072517795,0.0073232595,0.13690162,0.0034022313,0.007163739,0.15253289,0.003449535,0.007347234,0.0073201796,0.0034513648,0.0072448864,0.0072955284,0.0017519743,0.00174481,0.0017440203,0.0017464882,0.0034102676,0.0017582062,0.0034388416,0.0071269507,0.028486853,0.007106967,0.0070755784,0.007088144,0.0071625053,0.0017776849,0.0017843082,0.0017879213,0.001787339,0.0017826365,0.0071020033,0.0314068,0.03166984,0.0017784782,0.0071716346,0.07485105,0.0069264183,0.0070052976,0.0017597711
O,0.0058833896,0.0058607887,0.0058595175,0.11709484,0.0034237409,0.0057757227,0.16922937,0.0034378793,0.0059399526,0.005901154,0.0034102553,0.005831955,0.005866106,0.0031343056,0.0031014397,0.0030810772,0.0030742285,0.003375324,0.0031332865,0.0033864484,0.0057709315,0.063433364,0.0057788705,0.0057428386,0.0056157904,0.00562272,0.0031071885,0.0031451131,0.003160025,0.0031599598,0.003147345,0.0057915747,0.01858051,0.018608509,0.0031480587,0.005906207,0.02801957,0.005727904,0.0057286,0.0031287572
C,0.0014580723,0.0014686561,0.0014731155,0.0994044,0.00369805,0.001453346,0.23058182,0.0036159873,0.0014417409,0.0014574546,0.0037062003,0.0015066377,0.0015050656,0.0008484235,0.00085314194,0.0008613862,0.00086798146,0.0037258624,0.0008522932,0.003778105,0.0015851388,0.019666612,0.0015492532,0.0015226308,0.0014981908,0.0015178222,0.0009018093,0.00090913253,0.0009004251,0.0008861005,0.000872307,0.001496552,0.07857102,0.0781883,0.00085562345,0.0015176983,0.017893769,0.0014932483,0.0014287847,0.0008586914
N+,0.005653087,0.005651975,0.005647233,0.042628482,0.0066453014,0.0055931373,0.20921372,0.0066992715,0.005685993,0.005656171,0.0066511594,0.005646631,0.0056488453,0.0072262785,0.007205445,0.0072103515,0.007229215,0.0067067537,0.0071802456,0.0066331,0.0056625726,0.012393156,0.0056620426,0.005658826,0.0056265383,0.0055940836,0.007183117,0.0072390838,0.0072746743,0.0072836657,0.0072665294,0.0056389165,0.082718,0.08209216,0.007239826,0.005651343,0.02132961,0.00556139,0.005623092,0.007257752
C,0.0015188045,0.0015295326,0.0015342358,0.0979812,0.0037625236,0.0015133589,0.23134229,0.0036804723,0.0015025416,0.0015186305,0.003771637,0.001568987,0.0015676239,0.0008441555,0.0008489744,0.00085725554,0.0008638734,0.0037905371,0.0008487686,0.0038437045,0.0016502042,0.019235607,0.001612118,0.0015844419,0.0015588132,0.0015789998,0.0008975926,0.000904973,0.00089636224,0.00088214915,0.000868447,0.0015578467,0.07850099,0.07811963,0.00085187407,0.0015813373,0.01831251,0.0015539903,0.0014878288,0.00085525867
C,0.0015270008,0.0015378735,0.0015426343,0.09828301,0.0037357218,0.0015215589,0.23162287,0.0036547848,0.0015104784,0.0015267581,0.0037454606,0.0015774263,0.0015761183,0.0008410915,0.00084607536,0.00085450395,0.0008612237,0.003764038,0.0008459642,0.0038168523,0.0016593805,0.019197322,0.0016208924,0.0015929319,0.001567022,0.0015872547,0.0008948031,0.00090228155,0.00089361204,0.0008793132,0.0008655508,0.001565764,0.07848265,0.078107946,0.000849109,0.0015896999,0.01859928,0.0015616836,0.0014952192,0.00085233833
C,0.001491966,0.0015030267,0.0015080046,0.100190416,0.0036493288,0.0014879039,0.23257323,0.003570834,0.0014751126,0.0014913019,0.00366101,0.0015427793,0.0015411843,0.0008501765,0.0008556301,0.0008645648,0.00087162276,0.003678204,0.00085531455,0.003730434,0.0016213144,0.019460442,0.001584314,0.0015571053,0.001532576,0.0015522887,0.0009056004,0.0009134755,0.00090431573,0.0008892782,0.00087488804,0.0015296384,0.078483246,0.078122094,0.0008586604,0.0015516921,0.018972293,0.0015253964,0.0014604292,0.0008614171
C,0.0015056451,0.0015169631,0.0015221831,0.10048518,0.0036819307,0.0015017395,0.23340993,0.0036049783,0.0014886636,0.001504867,0.0036944926,0.001556778,0.0015549236,0.0008659147,0.00087150093,0.0008807572,0.000888076,0.0037108758,0.00087095855,0.003761755,0.0016344426,0.019573916,0.0015974407,0.0015702198,0.0015463528,0.0015664655,0.00092240743,0.00093064253,0.0009213535,0.00090602017,0.0008913232,0.0015432417,0.078129314,0.07776635,0.00087451143,0.0015651914,0.018962294,0.001538905,0.0014739445,0.00087780715
c,0.007449886,0.007516504,0.007592103,0.13862486,0.003415803,0.007425526,0.15323941,0.0034643642,0.0076102144,0.0075820773,0.0034641132,0.0075080576,0.007559042,0.0018127192,0.0018052338,0.0018044722,0.0018071079,0.0034215283,0.001818768,0.0034484058,0.007375401,0.029039538,0.007360968,0.007330655,0.007341855,0.0074176053,0.0018377149,0.0018452741,0.0018490591,0.00184827,0.0018431457,0.0073556113,0.028094312,0.028310172,0.0018395592,0.0074251806,0.07298029,0.0071768216,0.0072645573,0.0018215451
c,0.007416355,0.007483197,0.0075588385,0.13809238,0.00343677,0.007391955,0.15128903,0.0034844144,0.007575009,0.0075474973,0.0034847262,0.0074742665,0.007525212,0.0018087605,0.0018015379,0.0018008808,0.0018035029,0.0034429305,0.0018146158,0.0034701307,0.0073433165,0.028908206,0.0073295175,0.0072985953,0.007309348,0.007385225,0.001834641,0.0018419629,0.0018455599,0.0018446344,0.0018394582,0.0073226965,0.028326197,0.028544603,0.0018357971,0.007390483,0.073282816,0.0071445904,0.007230214,0.0018176524
c,0.0073448285,0.0074116145,0.007486869,0.13778266,0.0034616347,0.007321392,0.15076305,0.0035090956,0.0075024227,0.0074754977,0.0035103168,0.0074039767,0.0074545084,0.0017957996,0.0017887581,0.0017881476,0.0017907185,0.003468474,0.0018016049,0.0034963312,0.0072742985,0.02871016,0.007260354,0.0072291074,0.007240332,0.007316355,0.0018221503,0.0018291852,0.0018326653,0.0018317264,0.0018266246,0.0072531244,0.029032279,0.029261446,0.0018228332,0.0073196813,0.07354307,0.007076261,0.007159396,0.0018045962
c,0.0072643263,0.007330841,0.0074054925,0.13768895,0.0034757082,0.007241793,0.15121959,0.003523212,0.0074215382,0.0073950114,0.0035253165,0.007325164,0.007375237,0.0017758522,0.001768906,0.0017682889,0.0017707896,0.0034833073,0.0017816923,0.0035117806,0.0071970043,0.028583352,0.0071824216,0.007151039,0.007162719,0.0072385557,0.0018023638,0.0018090812,0.0018124868,0.0018116053,0.0018066475,0.007175356,0.029845964,0.030087583,0.0018028023,0.007241189,0.07374684,0.00699964,0.007080502,0.0017844691
