,C,C,C,C,C,O,C,O,C,C,C,C,C@H,C@@H,C,C,C@@,C,C,C@H,C,C,C,O,c,c,c,<UNK>,c,N,c,C,O,O,C,C,C,C,C,C@@H
C,0.0022378394,0.0022545236,0.0022663802,0.00223423,0.0021820823,0.015775645,0.0022050887,0.016105322,0.0022376983,0.0022013842,0.0021758175,0.0021731001,0.07370055,0.040327437,0.0022443833,0.0022324275,0.054255966,0.0021630598,0.002153301,0.074374974,0.0021594337,0.0021664165,0.0021762634,0.01587269,0.00232235,0.002344678,0.0023370755,0.010974937,0.0023099813,0.045633405,0.002341351,0.0022189307,0.01669513,0.016533611,0.0021440506,0.0021513512,0.0021700861,0.002198716,0.0022281392,0.041802693
C,0.0022468048,0.0022636126,0.0022756055,0.0022436187,0.0021912286,0.015829116,0.0022138632,0.016160287,0.002246308,0.002209937,0.0021841123,0.0021813356,0.07366453,0.040333778,0.0022527482,0.0022404257,0.053618606,0.0021711492,0.002161485,0.074355744,0.0021677047,0.002174871,0.0021848697,0.015925508,0.00233379,0.0023562738,0.00234844,0.011087228,0.0023209136,0.045217276,0.0023527867,0.0022274398,0.01675254,0.01658951,0.0021520618,0.0021591836,0.0021782313,0.0022070042,0.0022364669,0.041803956
C,0.0022587655,0.0022757482,0.0022878435,0.0022558665,0.0022033066,0.015759645,0.0022254365,0.016087383,0.0022579334,0.002221446,0.002195357,0.0021924907,0.07357106,0.04058253,0.0022642298,0.0022516828,0.053057,0.0021826364,0.002173006,0.07428781,0.0021791093,0.0021865212,0.0021967224,0.015855208,0.0023407948,0.0023633107,0.0023553888,0.011191803,0.0023276366,0.045191318,0.0023596198,0.002239121,0.016677186,0.016514303,0.0021630572,0.0021699313,0.0021893797,0.0022182858,0.0022477512,0.04205589
C,0.0022743535,0.0022908847,0.002302726,0.0022712052,0.0022191026,0.01533788,0.002241112,0.015651997,0.0022732315,0.0022370263,0.002211131,0.0022082333,0.07382376,0.04101813,0.0022800846,0.0022674736,0.05311523,0.002197967,0.0021879568,0.07456986,0.0021950696,0.0022021541,0.0022118948,0.015421718,0.0023811513,0.0024042802,0.002396282,0.010955111,0.00236801,0.045490317,0.0024001778,0.0022543867,0.016217846,0.0160605,0.0021791407,0.0021858087,0.0022048037,0.002233517,0.002262921,0.042501017
C,0.0022726697,0.0022881716,0.0022996382,0.0022690769,0.0022174336,0.015443456,0.0022414203,0.015765393,0.0022717605,0.0022362086,0.0022110415,0.0022082916,0.07450164,0.04010608,0.0022791016,0.0022662508,0.053999536,0.0021951348,0.0021844406,0.075205214,0.0021940933,0.00220026,0.0022088806,0.015514355,0.0024382807,0.0024627298,0.0024545784,0.010613698,0.0024255689,0.045017302,0.0024587612,0.0022521678,0.016325759,0.016167691,0.0021798185,0.002186769,0.002204237,0.0022324964,0.0022618982,0.04156748
O,0.0024462945,0.0024716496,0.0024869705,0.0024447134,0.0023820684,0.014358511,0.0023781,0.01457417,0.0024309321,0.002375248,0.0023572668,0.002352959,0.06778212,0.07041252,0.0023978753,0.0024029817,0.045023944,0.00236958,0.0023874624,0.06776163,0.002320224,0.0023283956,0.0023476935,0.014663134,0.0016047616,0.0016215531,0.0016220246,0.014651447,0.0015972015,0.010889463,0.0015984875,0.0024494291,0.015236893,0.015215522,0.0022976422,0.0023086716,0.0023529266,0.0023817741,0.0024022697,0.07105739
C,0.002222112,0.0022390732,0.0022510653,0.0022191703,0.0021675194,0.0155898025,0.002188904,0.015910912,0.0022226553,0.0021874073,0.002161356,0.0021583363,0.07352853,0.041840583,0.0022294524,0.002217607,0.05443506,0.0021488615,0.002139102,0.07428842,0.0021447993,0.002151935,0.0021620377,0.015690906,0.0022738657,0.002295861,0.002288505,0.0110117365,0.0022618424,0.04783934,0.002291971,0.002203853,0.016501872,0.016344445,0.002128708,0.0021360894,0.0021552704,0.002183905,0.0022131335,0.043353505
O,0.002427716,0.002453046,0.0024684018,0.0024270497,0.0023656418,0.014170929,0.002361612,0.014382608,0.0024128926,0.0023584631,0.0023406218,0.0023362965,0.0668186,0.0706889,0.0023803625,0.0023850848,0.04534953,0.0023525527,0.002371292,0.06680831,0.0023044944,0.0023123727,0.0023312948,0.014473132,0.0015974406,0.0016139488,0.0016143748,0.014606283,0.0015897913,0.010977681,0.0015911508,0.0024315252,0.015032303,0.015011795,0.0022817296,0.0022919707,0.0023365316,0.0023654741,0.0023858151,0.07133037
C,0.0022258072,0.0022424208,0.0022543103,0.0022225028,0.0021703334,0.01605916,0.002193872,0.016396651,0.002225281,0.0021896379,0.0021639436,0.0021609627,0.07358826,0.040417127,0.00223205,0.0022199068,0.054813217,0.0021506243,0.0021407753,0.07428949,0.0021470904,0.0021543177,0.002164376,0.016164064,0.0022809375,0.0023028841,0.002295769,0.011199729,0.0022694964,0.04995082,0.0022995754,0.0022069854,0.01700199,0.016836446,0.0021323543,0.0021397413,0.002159018,0.002187662,0.002216825,0.041891724
C,0.0022190025,0.0022350666,0.0022466613,0.0022148197,0.0021625964,0.015698694,0.0021866357,0.016030394,0.0022188495,0.0021837838,0.002158271,0.00215544,0.07435107,0.040682185,0.0022266817,0.002214662,0.055315364,0.0021443875,0.0021334144,0.075082645,0.0021416158,0.0021484264,0.0021579622,0.01580153,0.0022853645,0.0023076944,0.0023004112,0.010866017,0.0022740576,0.05082887,0.0023047132,0.0022006182,0.016627207,0.016469669,0.0021270271,0.0021343,0.0021520718,0.0021803984,0.0022097444,0.042151198
C,0.0022278281,0.002243347,0.00225477,0.0022233548,0.0021709215,0.015778327,0.0021961178,0.016113292,0.0022268507,0.0021913068,0.002166006,0.0021631853,0.074347064,0.040179923,0.0022341132,0.0022219445,0.0549681,0.0021504858,0.0021394629,0.07506064,0.0021487637,0.002155269,0.0021644505,0.015872939,0.0023486163,0.0023718756,0.0023644853,0.010777835,0.002337364,0.049860936,0.0023688052,0.0022082748,0.016703257,0.016541865,0.0021348172,0.0021421558,0.0021589666,0.0021868995,0.0022161668,0.04162685
C,0.0022290864,0.002244466,0.0022557788,0.0022242526,0.0021717632,0.01587231,0.002197094,0.016209695,0.0022276659,0.0021918353,0.0021666065,0.0021637578,0.07423241,0.040028866,0.00223465,0.0022226498,0.054976225,0.0021511023,0.0021402903,0.074937016,0.0021493402,0.002155818,0.002164996,0.015968373,0.0023654017,0.002388774,0.002381416,0.01076175,0.0023541718,0.04980627,0.0023857406,0.0022091148,0.016803054,0.016639428,0.0021353832,0.0021429197,0.0021595382,0.0021872479,0.0022163475,0.041471574
C@H,0.0019817264,0.002019004,0.0020382905,0.0019973658,0.0019742546,0.021627039,0.0019842535,0.021894876,0.002066808,0.0021225372,0.0020934546,0.002078687,0.051189438,0.040584426,0.0020892725,0.0020967578,0.06767007,0.0021185472,0.0021067222,0.051225867,0.0020865323,0.0021017904,0.0021154627,0.021980356,0.00090044405,0.0008991784,0.00089793105,0.002444672,0.00089852954,0.13364974,0.00090872316,0.0020567316,0.022650944,0.022702051,0.002025585,0.0020104123,0.0020317112,0.0020612993,0.0020871286,0.04158125
C@@H,0.003874955,0.0038351037,0.0038257502,0.0038254731,0.003762375,0.055713266,0.003983921,0.056915317,0.003864081,0.0038691806,0.0038277842,0.003821225,0.0144380275,0.038171314,0.0038824666,0.0038641538,0.01355876,0.0038991729,0.003795614,0.01433583,0.0037904861,0.0038160395,0.003835056,0.055679396,0.0052725226,0.0052813413,0.0052458122,0.0103307525,0.0052066017,0.13378507,0.0053654616,0.0039073084,0.058334287,0.05783398,0.0039479733,0.0039713327,0.003948114,0.003916484,0.0038922734,0.039585795
C,0.0021961809,0.0022122075,0.002223349,0.0021910297,0.0021404186,0.015545725,0.002161783,0.015869908,0.0021971627,0.0021619226,0.002137235,0.0021346272,0.07459477,0.040032383,0.002204266,0.0021937622,0.056498054,0.0021261012,0.002115313,0.07529219,0.0021207314,0.0021274092,0.00213715,0.015670283,0.0022735843,0.0022953926,0.0022883867,0.010380978,0.0022624664,0.055329416,0.0022921674,0.002178616,0.016476275,0.0163251,0.0021047422,0.00211335,0.0021311312,0.002158759,0.0021874136,0.04145854
