,C,C,C,C,C,O,C,O,C,C,C,C,C@H,C@@H,C,C,C@@,C,C,C,c,c,c,<UNK>,c,N,c,C,O,O,C,C,C,C@H,C,C,N,C,C@@H
C,0.0017145777,0.0017303568,0.0017412149,0.0017166474,0.0016779024,0.013817698,0.0016756043,0.014075415,0.0017085426,0.0016749366,0.0016619973,0.0016622023,0.078174345,0.047233082,0.0017140693,0.001709082,0.06363971,0.0016494843,0.0016460842,0.0016474478,0.002322444,0.0023412458,0.0023280887,0.00616177,0.0023162565,0.029821025,0.0023365407,0.0016458617,0.0140362885,0.013764159,0.0017003962,0.0016690806,0.001632899,0.07940861,0.0016429141,0.0016466891,0.028141486,0.0016824637,0.049510203
C,0.0017212922,0.0017372227,0.0017482769,0.0017240008,0.0016850294,0.01389631,0.0016822068,0.014155779,0.0017148245,0.0016813491,0.0016684576,0.0016685746,0.07816072,0.047187194,0.0017202623,0.0017150358,0.06326425,0.0016552878,0.0016521653,0.0016535893,0.002341501,0.0023605356,0.0023471802,0.006185464,0.0023353354,0.029291142,0.0023558226,0.0016518256,0.014113949,0.013841142,0.0017065371,0.0016750693,0.0016389412,0.079401575,0.001648894,0.0016527626,0.027657745,0.0016886771,0.04945721
C,0.0017277357,0.0017438022,0.0017549752,0.0017309261,0.0016919299,0.013810619,0.0016883552,0.014066777,0.0017208842,0.0016876052,0.0016747311,0.0016747529,0.07816986,0.047415316,0.0017264035,0.0017210413,0.062873706,0.0016615008,0.0016585945,0.0016598997,0.0023513369,0.0023704611,0.002357126,0.0062201396,0.0023453385,0.029044513,0.0023657614,0.0016580983,0.014024896,0.013755333,0.0017126729,0.0016812024,0.0016450507,0.07942196,0.001654722,0.0016587621,0.027430328,0.0016948015,0.04968839
C,0.0017366876,0.0017521089,0.0017628911,0.001739419,0.001701235,0.013302406,0.0016971501,0.01354377,0.0017298139,0.0016972136,0.0016844058,0.0016844015,0.07846186,0.047918327,0.0017360683,0.0017307583,0.062336672,0.0016713407,0.0016682058,0.0016700467,0.0023954716,0.0024139406,0.0024003836,0.0061938586,0.0023886794,0.029214066,0.0024092414,0.0016681482,0.013496819,0.013242885,0.0017216629,0.0016908546,0.001655131,0.079726815,0.0016648086,0.0016684363,0.027591366,0.0017039389,0.050204333
C,0.0017514224,0.0017660159,0.0017764537,0.0017532695,0.0017151322,0.013488934,0.0017130594,0.013737126,0.0017450538,0.0017124324,0.0016997114,0.0016998135,0.078732625,0.04707901,0.0017514329,0.0017459709,0.06266364,0.0016846816,0.0016807255,0.0016840012,0.002459572,0.002477694,0.0024631463,0.0061451304,0.0024510103,0.02911132,0.002473295,0.001682134,0.013674885,0.013418351,0.0017360284,0.0017054023,0.0016701923,0.079981305,0.0016811138,0.0016836999,0.027518075,0.0017185907,0.04934475
O,0.0021254923,0.002153535,0.0021713118,0.002145857,0.0020997566,0.0139485635,0.0020908029,0.014133133,0.0021096265,0.002085098,0.0020764594,0.0020718386,0.06781091,0.07263117,0.0021021098,0.0020997156,0.043679386,0.0020893703,0.0021120198,0.0020783618,0.0015146991,0.0015257841,0.0015287941,0.012269201,0.0015287746,0.010936034,0.0015495226,0.0020157704,0.014460673,0.014243778,0.0021417127,0.0021050335,0.0020635554,0.068909265,0.0020158298,0.0020481837,0.0107455095,0.0020988542,0.07392506
C,0.0017023829,0.001718191,0.0017290738,0.0017049946,0.0016669519,0.013649851,0.0016633407,0.013899122,0.0016969902,0.0016646729,0.0016511709,0.0016511878,0.078024715,0.048625145,0.0017029762,0.0016978388,0.06358149,0.0016388735,0.0016355554,0.0016368524,0.0022939641,0.0023123887,0.0022993744,0.0061535025,0.0022875792,0.03065357,0.0023073568,0.0016356098,0.013864161,0.013595011,0.0016885161,0.0016575269,0.0016219171,0.07930838,0.0016318978,0.0016357342,0.028895078,0.0016715579,0.05094374
O,0.0021096494,0.002137781,0.0021556853,0.0021311597,0.0020861924,0.013712185,0.0020766994,0.013892431,0.0020943594,0.0020711008,0.002062662,0.0020579896,0.0669437,0.07288556,0.0020871714,0.0020843588,0.043992672,0.0020747925,0.0020984386,0.00206533,0.0015048884,0.0015157347,0.0015187719,0.012218136,0.0015189186,0.011014649,0.0015393307,0.0020021386,0.014215414,0.014003987,0.0021261745,0.0020899256,0.0020497288,0.06802498,0.0020018788,0.0020341007,0.010820782,0.0020850895,0.07417916
C,0.0017161932,0.0017319542,0.0017428804,0.0017185241,0.0016795092,0.014079114,0.0016776572,0.014342957,0.0017097977,0.0016766038,0.0016633364,0.0016633586,0.078026526,0.047398936,0.0017157969,0.0017104909,0.064212516,0.0016505846,0.0016467567,0.0016480123,0.0022859708,0.0023049556,0.0022920028,0.006219258,0.0022798916,0.031793386,0.002300044,0.0016473808,0.014305968,0.014025026,0.0017020754,0.0016703538,0.0016341754,0.07928162,0.0016444376,0.0016485017,0.029944208,0.0016846462,0.049678344
C,0.0017069231,0.0017217244,0.0017319876,0.001707556,0.0016690743,0.013711653,0.0016676277,0.013966958,0.001701022,0.0016685763,0.0016550935,0.0016552598,0.078433685,0.047587868,0.0017081364,0.0017030871,0.06371117,0.0016431531,0.0016382238,0.00164011,0.0023050166,0.0023235898,0.0023102402,0.0060728844,0.0022980834,0.03243143,0.0023177757,0.0016398868,0.013929218,0.01365806,0.0016931251,0.0016624569,0.0016266867,0.07971025,0.0016370591,0.0016400192,0.030530188,0.0016750308,0.049861882
