,S,O,O,O,N,C,O,C@@,N,C,O,C,N,O,C,C,O,O,C,C,c,n,c,N,s,c,C@@,C
S,0.044684432,0.005045514,0.0050158603,0.00505089,0.0028598243,0.0021412894,0.0049599092,0.06451805,0.002859534,0.0022449857,0.004986486,0.002273029,0.0029267655,0.005077034,0.0023302853,0.0023331712,0.0050886013,0.0051177936,0.0023245148,0.0022557199,0.0018991869,0.07806154,0.0019346452,0.002933256,0.11208742,0.0019537113,0.06810946,0.002259497
O,0.016477482,0.0031643338,0.0031077308,0.003110936,0.0015226773,0.0040075877,0.0031233367,0.060413215,0.0015092969,0.0041833497,0.0031995326,0.0042005936,0.0015635232,0.0031780193,0.004483215,0.004364929,0.003095367,0.0031073375,0.00430726,0.0042245323,0.0014926126,0.123350695,0.0014592656,0.0015515331,0.19287997,0.0014286434,0.061839875,0.0041610673
O,0.016686754,0.0031437727,0.00308752,0.0030903982,0.0014902035,0.004008826,0.0031029375,0.0603873,0.0014766103,0.004185917,0.0031790824,0.0042019906,0.0015306631,0.003157286,0.004485058,0.0043664714,0.003074404,0.0030862007,0.0043097725,0.004225454,0.001471176,0.1233837,0.001437825,0.0015195059,0.19240601,0.0014074747,0.061828963,0.004162188
O,0.016912267,0.0032662174,0.0032072794,0.003210057,0.0015133243,0.0039969655,0.003222764,0.059645295,0.0014998447,0.0041731433,0.003302269,0.0041897204,0.0015541258,0.0032797207,0.0044690575,0.0043518385,0.0031934776,0.0032058957,0.004295331,0.0042122756,0.001514527,0.12330506,0.0014799075,0.0015424194,0.19264641,0.0014486772,0.06107775,0.0041489606
N,0.045802776,0.008618977,0.008554786,0.00856134,0.01278428,0.0006433029,0.00846872,0.036980353,0.012609712,0.00065153505,0.008511883,0.000660646,0.012374777,0.008827156,0.0006796044,0.0006675885,0.008560727,0.0086787725,0.0006594745,0.0006747879,0.002923298,0.0777604,0.002905074,0.012773063,0.15760565,0.0029000575,0.0375995,0.00066943833
C,0.054524854,0.0015396946,0.0015251552,0.0015363685,0.0024857018,0.00047384278,0.0015228799,0.06349044,0.0024598055,0.0004941505,0.0015447282,0.00048857403,0.002575703,0.0015999116,0.0005194342,0.00050346454,0.0015521637,0.0015659946,0.0004977195,0.00050012936,0.0009958564,0.11992664,0.0010053238,0.0025292314,0.13865711,0.0010072857,0.06635893,0.0004955988
O,0.01671172,0.0031945459,0.0031368725,0.0031397948,0.0014967558,0.00399729,0.0031525767,0.059857693,0.0014831697,0.0041746334,0.0032305447,0.004190912,0.0015375934,0.0032086147,0.004474635,0.0043554883,0.0031238676,0.0031356874,0.004298346,0.0042146607,0.0014846544,0.12322384,0.0014502575,0.0015260231,0.19323961,0.0014194073,0.06132967,0.0041506104
C@@,0.08649547,0.005289181,0.0052522146,0.0052598366,0.036098506,0.0034810188,0.005291749,0.0341801,0.03531698,0.0034973617,0.0052808607,0.0035455022,0.03613708,0.00532265,0.0036038484,0.0035616644,0.005303809,0.0053348914,0.003583947,0.0036662011,0.0030602557,0.008530734,0.0030195392,0.03469633,0.06476003,0.0030212093,0.033197798,0.0035916865
N,0.04653729,0.008588663,0.008525505,0.008532672,0.012602779,0.0006352928,0.008440726,0.037971016,0.012429722,0.0006438659,0.008484102,0.0006524551,0.012199027,0.00879861,0.0006715425,0.0006597293,0.008534263,0.008651048,0.0006516416,0.0006662109,0.00288571,0.07843466,0.0028681196,0.0125893755,0.1564991,0.0028632567,0.038619038,0.00066077587
C,0.054228004,0.0015238702,0.0015096928,0.0015205828,0.0025326456,0.0004906218,0.0015074423,0.06350709,0.0025059166,0.0005114712,0.0015287728,0.00050574454,0.0026238584,0.0015834537,0.00053761323,0.0005211153,0.0015368294,0.0015505956,0.0005153527,0.0005175924,0.0009968417,0.11985516,0.001006676,0.0025771193,0.13650803,0.0010086825,0.06641227,0.0005129852
O,0.016253414,0.0031487348,0.0030916058,0.0030945425,0.0014998799,0.0039759562,0.0031068712,0.06039244,0.0014860496,0.004151553,0.0031838412,0.0041677523,0.0015412115,0.0031620848,0.0044485913,0.004330827,0.0030785725,0.003090525,0.004274072,0.004190716,0.0014508821,0.12320709,0.0014179944,0.0015292387,0.19248489,0.001388087,0.061836116,0.0041281185
C,0.05572669,0.001497207,0.001483388,0.0014945116,0.0025330705,0.00048087828,0.0014811778,0.06360353,0.0025069476,0.00050160784,0.0015020368,0.0004957718,0.0026249853,0.0015562864,0.00052690186,0.00051078806,0.0015104791,0.001523862,0.0005051408,0.00050736155,0.000998397,0.11983707,0.0010085253,0.0025784378,0.13497204,0.0010107091,0.06650334,0.00050294795
N,0.0452218,0.008628518,0.008563527,0.0085681025,0.012756026,0.0006314614,0.008477382,0.03890542,0.0125809135,0.00064017926,0.0085203005,0.00064854336,0.012343208,0.008835292,0.00066746195,0.0006559719,0.008571601,0.008689786,0.0006481961,0.00066196895,0.0028570774,0.07772172,0.0028411413,0.01274483,0.15560806,0.0028376011,0.039603245,0.000656481
O,0.016455047,0.0030915397,0.0030350182,0.003037703,0.001450803,0.0039391317,0.003050406,0.060528353,0.0014369863,0.0041152025,0.003127446,0.0041318643,0.0014913632,0.003105975,0.004411087,0.0042940243,0.0030231944,0.00303508,0.004237308,0.0041530854,0.0014067406,0.123158164,0.0013747072,0.0014802711,0.19085518,0.0013455312,0.062017217,0.0040912586
C,0.05673192,0.0015054025,0.001490906,0.0015014205,0.0025232758,0.00048002796,0.0014884506,0.063434534,0.0024963457,0.00050062215,0.0015097118,0.0004949078,0.00261326,0.001563683,0.0005257108,0.00050970557,0.0015175777,0.0015314734,0.0005042348,0.0005062792,0.0010014237,0.11982649,0.0010118018,0.0025677509,0.1329823,0.0010142209,0.06634997,0.0005020663
C,0.055528343,0.0015024302,0.001488249,0.0014988553,0.002477283,0.0004905073,0.0014859838,0.06351045,0.0024511337,0.0005115615,0.0015074011,0.0005057492,0.0025665255,0.001561179,0.0005374539,0.0005210018,0.0015151299,0.0015287312,0.0005153049,0.0005174437,0.0009908214,0.12003511,0.0010009728,0.0025219559,0.13471428,0.0010030738,0.06641567,0.0005130342
O,0.016210906,0.003165986,0.0031080616,0.0031107746,0.0014900038,0.0039929855,0.0031232075,0.060427837,0.0014765625,0.0041707023,0.0032011548,0.0041870144,0.0015306423,0.0031786452,0.004469694,0.004350867,0.003094415,0.0031064881,0.004293564,0.0042090663,0.0014525191,0.12321691,0.0014196724,0.001519017,0.19174832,0.001389768,0.061888535,0.004147009
O,0.016203076,0.0031624753,0.0031048015,0.0031076127,0.0014790748,0.003975481,0.0031204016,0.060450133,0.0014658414,0.00415235,0.0031984367,0.0041679004,0.0015197222,0.003175974,0.004449105,0.0043306407,0.0030918599,0.0031038742,0.004273832,0.004190333,0.0014497613,0.123215854,0.001417127,0.0015082677,0.19160922,0.0013871329,0.061934296,0.0041291425
C,0.05286239,0.001535833,0.0015217904,0.0015328388,0.0024768095,0.00048108294,0.0015190165,0.06361826,0.0024520701,0.0005016327,0.0015399512,0.00049575744,0.002567289,0.001596437,0.00052711956,0.0005108594,0.0015485153,0.0015622602,0.0005051217,0.00050762855,0.0010126928,0.12001472,0.0010227545,0.0025230397,0.13703328,0.001024745,0.066545725,0.00050332234
C,0.05416039,0.0015159966,0.0015020567,0.0015131154,0.0025472417,0.0004706373,0.001499294,0.06362426,0.0025210888,0.0004907561,0.0015196765,0.0004851249,0.0026390413,0.0015757132,0.0005157208,0.00049983186,0.0015285535,0.001542236,0.0004941928,0.0004966416,0.0010098321,0.11976867,0.0010198916,0.0025930018,0.13520926,0.0010222242,0.066551134,0.0004923073
c,0.073714845,0.0014692099,0.001453524,0.00146348,0.0012300402,0.0018872736,0.0014579325,0.06153683,0.0012051009,0.0019977975,0.0014947887,0.00197611,0.0012722259,0.0015233487,0.002120296,0.0020720542,0.0014899914,0.0014992869,0.002044714,0.0019892529,0.00062122423,0.12374791,0.00062154094,0.0012531998,0.17636546,0.0006158416,0.06404899,0.0019496738
