,S,C,C,C,c,n,c,N,C@,C@,c,c,c,F,c,F,c,c,C,c,n,n,n,C@,C@,O,C@,O,C@@,O,C,C,O,C,c,n
S,0.005211217,0.0021281356,0.0021268115,0.0021222888,0.0030541641,0.04422963,0.0029868735,0.01660453,0.07997781,0.08133817,0.0029686878,0.002982448,0.0029949727,0.052163914,0.0029781705,0.051997025,0.0030175038,0.0030347146,0.0020429867,0.0030243227,0.04724027,0.046678115,0.045881473,0.075648434,0.07619001,0.01761231,0.07644184,0.017900612,0.033559136,0.017911438,0.002080953,0.0020862322,0.017895492,0.0021025997,0.0030182316,0.046417348
C,0.00554675,0.00033346636,0.00033791858,0.00034368943,0.0016586768,0.06880997,0.0015777625,0.004886393,0.090687096,0.09186858,0.001559216,0.0016091751,0.0016455947,0.02424458,0.0015850267,0.024153031,0.0015814205,0.0016044361,0.000331273,0.0016281321,0.07266283,0.07147261,0.070289075,0.08577342,0.08688362,0.021059124,0.08715539,0.021495974,0.016743833,0.021334471,0.00032327964,0.0003244871,0.021350086,0.00032120483,0.0015531568,0.07456359
C,0.005493448,0.0003292221,0.0003336387,0.00033935084,0.0016349853,0.06878304,0.0015556023,0.0048196693,0.090849414,0.0920413,0.0015365517,0.0015865102,0.0016226519,0.023829838,0.0015622556,0.023734592,0.0015578776,0.0015804104,0.0003271044,0.0016046192,0.07261715,0.071426645,0.07023949,0.085959256,0.08707307,0.021237744,0.08733972,0.021674888,0.016819034,0.021508554,0.00031900682,0.0003201653,0.021520728,0.00031696013,0.0015308673,0.07453906
C,0.0054675797,0.00032280356,0.00032717214,0.00033281444,0.0016044689,0.06875296,0.0015265957,0.00481267,0.090987094,0.09219102,0.0015070179,0.001556778,0.001592615,0.02373558,0.0015328211,0.02363557,0.0015275266,0.0015495091,0.00032073562,0.0015738264,0.072579935,0.07138833,0.070198044,0.08613094,0.0872549,0.021326827,0.087508135,0.021758022,0.016838726,0.021591077,0.000312569,0.0003137178,0.021605195,0.00031061002,0.0015014694,0.0745171
c,0.026504245,0.0005028685,0.0005101805,0.00051989354,0.001560212,0.057104398,0.0014795162,0.0032429919,0.07814468,0.07868536,0.0014365742,0.0015047287,0.0015601607,0.061532944,0.001518759,0.06094621,0.0014722865,0.0014848941,0.00049461256,0.0015063755,0.05864776,0.05777415,0.05708267,0.07728171,0.078775786,0.023464125,0.07867686,0.023313433,0.020418972,0.023367347,0.0004753022,0.00047917682,0.023467902,0.0004794424,0.0014635795,0.0609657
n,0.0056451983,0.012429392,0.01232706,0.012292758,0.01357319,0.016803222,0.0136267645,0.013010941,0.029962711,0.029856227,0.01357039,0.013524849,0.013532122,0.021823803,0.013416966,0.02178318,0.013440182,0.01342401,0.012672225,0.013297669,0.016591785,0.016540764,0.016409623,0.029637353,0.02968454,0.0127515765,0.0309149,0.013058371,0.045804244,0.0128838755,0.012708571,0.012677385,0.013007104,0.012775514,0.0133958515,0.017103609
c,0.027427826,0.000489795,0.00049692567,0.0005064557,0.0015666519,0.05698767,0.0014841277,0.003152297,0.07768667,0.078257136,0.0014416231,0.0015107541,0.001567139,0.062062863,0.0015250942,0.061472148,0.0014781496,0.0014912749,0.00048195635,0.001513556,0.058573883,0.05768621,0.056985352,0.076913305,0.078432344,0.023484027,0.07834136,0.023330064,0.020902924,0.023382906,0.00046287017,0.00046651164,0.02347712,0.00046688205,0.0014698919,0.060862012
N,0.0060835993,0.0010609748,0.0010680882,0.0010690313,0.004366302,0.044607043,0.004338553,0.0058759246,0.09698829,0.09772597,0.0041053463,0.0042482656,0.0043299794,0.015522717,0.0040942025,0.015503884,0.004190328,0.004195728,0.0010507758,0.004304172,0.045951437,0.045286458,0.044574283,0.09340023,0.09429257,0.01459931,0.09311567,0.014860122,0.051284634,0.015034385,0.0010765193,0.0010694364,0.0148979295,0.0010473696,0.004222687,0.046601847
C@,0.017953843,0.0073370556,0.0073391097,0.007340596,0.0065657264,0.0311718,0.0064000413,0.040132407,0.05717737,0.05755022,0.006302662,0.006328307,0.0063921744,0.02310874,0.0063838344,0.02298409,0.0064392504,0.0064355293,0.007501954,0.006410852,0.031543583,0.031556614,0.031476095,0.05823778,0.05853057,0.011943998,0.059110712,0.011798954,0.024781879,0.011847703,0.0074259676,0.0073999357,0.01188302,0.007381091,0.0064912867,0.03162948
C@,0.017823812,0.007361602,0.007362888,0.007363851,0.0065760333,0.03154735,0.0064095687,0.039742816,0.056806717,0.057178292,0.006315625,0.006339367,0.0064025894,0.02355228,0.006396048,0.023430362,0.0064518303,0.0064475443,0.007526745,0.006422104,0.03193205,0.031947196,0.031866167,0.057847627,0.058141563,0.011956755,0.058717925,0.011807557,0.024951898,0.0118607115,0.007449561,0.0074238717,0.011896878,0.007406213,0.0065034754,0.032006092
