,O,C,O,c,c,c,C,C,O,C,N,N,C,C,O,N,c,c,c,C,c,C,c,c,N,C,C,C,C,C,c,c,c
O,0.0041097146,0.0010677387,0.0043074987,0.0005967807,0.00059784413,0.00059739134,0.0010670905,0.0010451481,0.004219255,0.001071321,0.03209156,0.032184523,0.0010828392,0.0010631623,0.0045225215,0.036212306,0.00060289167,0.00059965154,0.0005983767,0.001104548,0.0006057158,0.0010903793,0.000601914,0.00059935125,0.03234621,0.0011049164,0.0010716054,0.0010608104,0.0011049536,0.0011150386,0.00059519574,0.0005957697,0.00059718423
C,0.024155524,0.00085640437,0.024447788,0.0039583263,0.003998924,0.0040162853,0.0008341615,0.0008210612,0.023971578,0.0008119504,0.035087813,0.035195872,0.00081061514,0.00081033347,0.024851596,0.041076683,0.0039957636,0.003966083,0.003962518,0.0008672718,0.00403094,0.000864928,0.0040202066,0.004009528,0.034177557,0.0008496693,0.0008343102,0.00083778496,0.000847884,0.00084544276,0.0039073825,0.0039188284,0.0039341603
O,0.004116157,0.0010975008,0.004311639,0.0006130761,0.00061422423,0.0006136876,0.0010954065,0.0010738214,0.0042226366,0.0011009236,0.032322012,0.03241158,0.0011115653,0.0010913787,0.004525575,0.03647381,0.00061925134,0.00061599957,0.0006147262,0.0011349455,0.0006222474,0.0011200572,0.00061819726,0.0006155822,0.03256966,0.0011347482,0.0011007554,0.0010891564,0.0011340635,0.0011444379,0.0006115889,0.0006121677,0.0006136214
c,0.0081204,0.00026381642,0.008615824,0.0002728361,0.00027258578,0.00027383352,0.00027983883,0.0002640448,0.008452822,0.00026554058,0.031492908,0.031737216,0.00027843725,0.00027703954,0.009073664,0.03547265,0.00027782895,0.00027741515,0.00027649073,0.00027660272,0.00028008458,0.0002751436,0.00027792118,0.00027525885,0.031206898,0.00027709827,0.00027078894,0.0002742403,0.00028839137,0.00028890252,0.00027027607,0.00027064647,0.00027159174
c,0.00811091,0.0002670491,0.008608315,0.00026967685,0.00026946614,0.0002706988,0.00028279802,0.00026696455,0.008445822,0.000268624,0.03153458,0.031778958,0.00028145514,0.00027998255,0.009066684,0.035507306,0.00027453576,0.00027411865,0.00027321948,0.00027996328,0.00027676066,0.00027835154,0.00027465777,0.0002720544,0.031239482,0.00028028619,0.00027381792,0.0002771678,0.00029143595,0.00029197245,0.00026710596,0.00026748175,0.00026842326
c,0.00814803,0.00026722922,0.008646488,0.00027235423,0.00027213077,0.00027336812,0.0002831152,0.00026717086,0.008481696,0.0002687733,0.031558234,0.031803284,0.00028163326,0.00028014707,0.009104842,0.035537686,0.00027726873,0.0002768552,0.00027594817,0.00028007044,0.000279512,0.00027852034,0.00027737004,0.00027475323,0.031260416,0.00028040493,0.00027398218,0.0002773872,0.00029171986,0.00029228328,0.0002697815,0.00027016047,0.0002711106
C,0.02472034,0.0008782584,0.024986846,0.004085632,0.0041268324,0.004143871,0.0008530936,0.00084036955,0.024482265,0.000831015,0.035142068,0.035252642,0.00082865445,0.0008279569,0.025365071,0.04120848,0.004124165,0.00409279,0.004088566,0.0008887645,0.0041606333,0.00088600203,0.0041471203,0.0041350294,0.034242384,0.0008697939,0.00085370726,0.0008566753,0.00086683186,0.0008644641,0.004031828,0.0040432084,0.004058452
C,0.024239995,0.0008568495,0.024527958,0.003966359,0.004006416,0.00402373,0.00083543424,0.000821794,0.024040487,0.0008124559,0.035183582,0.035295155,0.0008113147,0.00081111194,0.024926856,0.041196857,0.00400265,0.0039716642,0.0039677094,0.00086699624,0.0040363837,0.0008650133,0.004025973,0.0040151277,0.03427904,0.0008498934,0.0008347297,0.000838476,0.0008489571,0.00084654463,0.0039125234,0.003924118,0.003939672
O,0.004132928,0.0010785311,0.0043307915,0.0006023167,0.00060348125,0.0006029489,0.00107563,0.0010545396,0.0042412593,0.0010811171,0.032664493,0.032753505,0.0010911896,0.0010711731,0.004546961,0.036863875,0.00060828734,0.0006051917,0.0006039818,0.0011158038,0.0006115216,0.0011009552,0.00060745067,0.00060486945,0.032896265,0.0011151365,0.0010814397,0.0010696801,0.0011137391,0.0011238402,0.00060102966,0.0006015989,0.0006030473
C,0.024379969,0.00085172046,0.02467635,0.0039367783,0.003978011,0.003995473,0.0008295111,0.00081652653,0.024191659,0.00080721575,0.035149455,0.035256304,0.0008056509,0.0008054469,0.02508659,0.041130323,0.0039728573,0.003943499,0.003939966,0.0008623085,0.004008386,0.0008602071,0.003997446,0.003986813,0.03421144,0.00084503234,0.0008296719,0.0008330147,0.00084293017,0.00084041595,0.003885633,0.0038971219,0.0039125397
N,0.02715434,0.0024466787,0.02714028,0.0055856593,0.005635089,0.0056361323,0.0024446188,0.0023927777,0.025989484,0.002363587,0.042825174,0.04277314,0.0024063091,0.002373761,0.02665459,0.046479166,0.005581101,0.005538909,0.00553213,0.0025220958,0.005679839,0.002502859,0.005574167,0.005558069,0.041011237,0.0024621591,0.0024012954,0.0024319997,0.002437056,0.0024202745,0.0054573794,0.005464362,0.005474461
N,0.027054055,0.0024541486,0.027040085,0.0055793216,0.005627422,0.005628089,0.0024525227,0.0024004015,0.02588669,0.0023705033,0.0427161,0.042662825,0.0024139467,0.002381545,0.026553057,0.04637963,0.005574989,0.005532526,0.0055255285,0.002529476,0.0056741424,0.0025103283,0.005567634,0.005551274,0.040913127,0.0024691697,0.0024084253,0.0024396111,0.0024450403,0.0024282166,0.0054513,0.005458071,0.0054681576
C,0.024488667,0.00083916314,0.024770401,0.0039866185,0.004025862,0.004042577,0.0008195599,0.00080634956,0.024277186,0.00079623784,0.03502846,0.035136253,0.0007955633,0.0007963685,0.02515523,0.041118845,0.004023312,0.00399265,0.003988633,0.0008483415,0.0040578465,0.00084739045,0.004047476,0.0040362617,0.03410238,0.0008322072,0.0008182259,0.00082313316,0.00083331746,0.0008308082,0.003933737,0.003945211,0.0039607193
C,0.024566032,0.00086350396,0.024848402,0.004007536,0.0040479978,0.0040651537,0.0008405711,0.0008279555,0.024361774,0.00081854017,0.03529274,0.03539728,0.00081674266,0.00081659114,0.025243148,0.04133739,0.004044839,0.004014884,0.004010931,0.0008735769,0.0040804576,0.0008715495,0.0040697837,0.0040582526,0.034367543,0.0008561332,0.0008406776,0.0008442382,0.0008544729,0.0008520564,0.0039553437,0.0039667655,0.003982252
O,0.0041978047,0.0010189725,0.0043980842,0.00058735866,0.00058823224,0.0005877566,0.0010197724,0.0009983444,0.0043039117,0.0010224466,0.032353066,0.03245217,0.0010344248,0.0010155687,0.0046178307,0.036609143,0.0005937894,0.00059077766,0.00058953743,0.001054283,0.0005969377,0.0010409434,0.00059274724,0.00059017364,0.032610163,0.0010547991,0.0010232475,0.0010132367,0.0010562543,0.0010662962,0.00058709783,0.0005875649,0.0005888857
N,0.027278952,0.0024775586,0.027277874,0.005450596,0.0055002477,0.005501878,0.0024750128,0.0024220473,0.026109342,0.0023931707,0.04292679,0.042868838,0.0024367643,0.0024030844,0.026792288,0.04648064,0.0054459386,0.0054054796,0.0053992844,0.002555722,0.005543463,0.0025360675,0.0054407823,0.0054247556,0.041110575,0.002494224,0.0024323412,0.002463464,0.0024688288,0.0024516915,0.005327795,0.0053347647,0.0053444523
c,0.008078145,0.0002543738,0.008574688,0.0002626384,0.00026238203,0.00026361068,0.00027035552,0.00025486323,0.008416264,0.0002561912,0.031475887,0.03172366,0.0002688567,0.00026760544,0.0090336595,0.035434414,0.00026739878,0.000266975,0.00026607935,0.00026672232,0.00026952763,0.00026550025,0.00026758367,0.00026502012,0.03117823,0.0002674583,0.00026143753,0.00026494474,0.0002786551,0.0002790933,0.00026008222,0.00026044945,0.00026136497
c,0.008060713,0.00024991643,0.008555545,0.00026274295,0.0002624794,0.00026370853,0.00026607787,0.0002506078,0.008396858,0.00025188227,0.031410985,0.031659678,0.00026441267,0.0002631297,0.009013741,0.035362393,0.00026752552,0.00026710753,0.00026621058,0.00026191416,0.00026967144,0.0002608619,0.00026768635,0.00026510144,0.031123608,0.00026281475,0.00025699314,0.0002604907,0.0002740475,0.00027450357,0.00026022847,0.00026059122,0.00026149917
c,0.008093463,0.00024855757,0.008589882,0.00026379075,0.00026351513,0.00026474762,0.00026488598,0.00024938662,0.00842956,0.00025060406,0.031400546,0.031649604,0.0002631423,0.00026185822,0.009049582,0.035351202,0.00026860175,0.00026818464,0.00026728128,0.00026045824,0.00027076388,0.00025948713,0.00026875458,0.00026614816,0.031112496,0.0002614317,0.00025568632,0.0002592155,0.00027276872,0.00027323814,0.00026128546,0.00026164582,0.0002625537
C,0.02457713,0.00083585543,0.02487279,0.003936678,0.003977666,0.003995287,0.0008145495,0.00080183183,0.024391536,0.0007928116,0.035121642,0.035222802,0.00079104473,0.000791131,0.025278516,0.041096166,0.0039730873,0.003942536,0.0039386693,0.00084554666,0.004007762,0.0008437384,0.00399782,0.0039871526,0.034176968,0.00082915503,0.0008145989,0.000817942,0.0008277049,0.000825253,0.0038858238,0.0038972984,0.0039125187
c,0.008132924,0.00025303665,0.00862894,0.0002706311,0.00027033262,0.00027158298,0.0002695743,0.00025384332,0.008465913,0.00025507683,0.03138452,0.031633325,0.00026779462,0.0002664534,0.009088173,0.035356946,0.0002756278,0.000275206,0.0002742707,0.00026516538,0.00027784734,0.0002641481,0.0002757306,0.00027305924,0.031111673,0.00026606792,0.0002601975,0.00026378265,0.00027763395,0.0002781374,0.0002681147,0.00026847547,0.00026938829
C,0.024393233,0.0008429678,0.024680743,0.003961482,0.0040012756,0.004018399,0.000822971,0.00080936385,0.024195582,0.0007997351,0.035191387,0.0352937,0.00079889264,0.00079910783,0.02507744,0.041221447,0.0039986554,0.003966758,0.0039625494,0.00085257675,0.0040314673,0.0008511727,0.004022285,0.004011168,0.034282416,0.00083624467,0.0008218488,0.0008260042,0.0008364382,0.00083404774,0.0039083143,0.0039199293,0.003935327
c,0.008184894,0.0002469977,0.008684303,0.00026918948,0.00026884448,0.00027006603,0.00026397803,0.00024817494,0.008516913,0.00024914654,0.0315074,0.031756192,0.0002620767,0.00026080746,0.009142974,0.035502274,0.00027418998,0.0002738354,0.0002728954,0.00025883873,0.00027642527,0.0002580265,0.0002742413,0.00027156714,0.03121724,0.00025989467,0.0002543138,0.00025809483,0.0002719507,0.00027253057,0.00026677805,0.00026712072,0.0002680339
c,0.008202206,0.0002485803,0.008702601,0.0002697578,0.00026941198,0.00027063614,0.00026536998,0.00024961465,0.00853497,0.00025063398,0.031548742,0.03179696,0.00026356318,0.00026229382,0.009162109,0.03554973,0.00027477255,0.0002744135,0.00027346745,0.00026053571,0.00027700752,0.00025962625,0.0002748303,0.0002721528,0.03125338,0.00026150089,0.00025583553,0.00025957252,0.00027346276,0.00027404906,0.00026733757,0.00026768105,0.0002686001
N,0.027132897,0.0024930807,0.02711047,0.00557007,0.0056192554,0.005620011,0.0024909677,0.002437978,0.025950901,0.0024077685,0.043059662,0.04300143,0.0024527917,0.0024182585,0.026619654,0.046737436,0.00556538,0.0055209044,0.005513597,0.002570236,0.0056623723,0.0025506674,0.0055573434,0.0055406857,0.041265722,0.002508316,0.002445993,0.0024776245,0.0024828026,0.0024659124,0.005440249,0.005447018,0.005456903
C,0.024686126,0.0008606456,0.024966229,0.003984277,0.004025237,0.0040422585,0.00083808845,0.0008250909,0.024463201,0.0008153809,0.03519225,0.03529563,0.0008140602,0.00081422465,0.025356155,0.04124404,0.00402051,0.0039892085,0.003985376,0.00087073405,0.004054887,0.0008686277,0.0040442618,0.004033069,0.03426287,0.0008529997,0.0008378854,0.0008417083,0.00085198274,0.00084949005,0.0039306837,0.00394222,0.0039575985
C,0.024654517,0.00086388784,0.024940295,0.0039674067,0.0040077525,0.0040247343,0.0008414068,0.00082820456,0.024440601,0.00081860006,0.03526195,0.035365056,0.00081737386,0.000817438,0.025334248,0.041314412,0.004003923,0.0039728926,0.003969042,0.0008742978,0.004037827,0.0008720724,0.004027542,0.004016665,0.034348376,0.0008563495,0.0008411889,0.00084492256,0.00085555273,0.0008531987,0.0039143437,0.003925916,0.003941392
C,0.02464843,0.0008529232,0.024934847,0.003975594,0.0040152185,0.0040321606,0.0008311878,0.00081809907,0.024441201,0.0008086745,0.035250638,0.035355773,0.00080734683,0.0008072942,0.025326608,0.041322388,0.0040126224,0.0039811423,0.003976926,0.0008628552,0.0040463232,0.00086095504,0.004036429,0.004025462,0.034355063,0.000845719,0.0008308856,0.00083447294,0.00084504666,0.0008428541,0.003922648,0.0039340463,0.0039494387
C,0.024603873,0.00086860097,0.024887878,0.0039765043,0.0040170737,0.004034256,0.00084547297,0.0008325195,0.024402337,0.00082295167,0.035194352,0.03529989,0.0008210086,0.00082064146,0.02527828,0.041259304,0.0040129097,0.003981795,0.0039777737,0.0008785026,0.0040477975,0.0008764874,0.004037903,0.0040267506,0.0342704,0.00086089014,0.0008456109,0.00084881013,0.00085923757,0.0008569423,0.0039236406,0.003935133,0.0039505847
C,0.0245501,0.0008700878,0.0248343,0.003960263,0.00400094,0.0040181074,0.0008470647,0.0008340641,0.024350684,0.00082439446,0.03517121,0.03527657,0.00082248735,0.0008221988,0.025227232,0.04123516,0.003996251,0.0039653475,0.0039614085,0.0008799469,0.0040310845,0.00087801425,0.004021307,0.004010308,0.034239132,0.000862351,0.00084710115,0.0008504531,0.00086089014,0.0008585502,0.0039074556,0.003919018,0.0039345347
c,0.008137582,0.00025369684,0.008636516,0.0002645219,0.00026421103,0.0002654364,0.0002705733,0.0002547361,0.00847312,0.00025584345,0.03143225,0.031681295,0.0002689277,0.00026765568,0.009098095,0.035428364,0.000269341,0.00026889602,0.00026798985,0.00026596253,0.00027146479,0.00026495772,0.00026947013,0.00026687942,0.03115158,0.0002668575,0.00026105213,0.00026481334,0.0002788413,0.00027937733,0.00026193677,0.00026231477,0.00026325128
c,0.0081711495,0.0002547126,0.008671956,0.00026589527,0.00026558866,0.0002668215,0.00027149843,0.00025565363,0.008508598,0.00025678633,0.03144264,0.031691276,0.00026984044,0.00026855388,0.009134491,0.03544082,0.0002707349,0.0002702804,0.000269366,0.00026698207,0.00027286282,0.00026594696,0.00027087604,0.00026827803,0.031159952,0.00026783923,0.00026199737,0.00026573308,0.00027976852,0.00028030056,0.00026327526,0.00026365323,0.00026459695
c,0.008191336,0.0002567856,0.008693246,0.0002673755,0.00026708122,0.00026831846,0.00027332304,0.00025749052,0.008529881,0.00025871408,0.031467658,0.031715825,0.00027169648,0.0002703731,0.009155857,0.03547068,0.00027223676,0.0002717795,0.00027085908,0.000269106,0.00027437764,0.0002679663,0.00027238476,0.00026978133,0.031184029,0.00026985427,0.00026391153,0.00026757107,0.00028164109,0.00028217863,0.00026474008,0.00026511736,0.00026606713
